season,wingspan,height_w_shoes,standing_reach,body_fat_pct,hand_length,hand_width,name
2019,82,78,103,8.5,,,Zion Williamson
2019,79,75,,,,,Ja Morant
2019,82,79,,,,,RJ Barrett
2019,86,79,,,,,De'Andre Hunter
2019,77,74,,,,,Darius Garland
2019,81.5,78.75,100.5,5,8.25,8.5,Jarrett Culver
2019,77,76.75,97.5,4.3,7.75,9,Coby White
2019,87.5,83.5,110.5,5,9.25,10.5,Jaxson Hayes
2019,86,80,,,,,Rui Hachimura
2019,84.5,80,105.5,4.7,9,9,Cam Reddish
2019,82,80.5,103,5.8,8,8.5,Cameron Johnson
2019,86.5,80,106.5,8.6,9,10.25,P.J. Washington
2019,75.25,78,100.5,7.1,8,8.75,Tyler Herro
2019,83,78,103,,9,9,Romeo Langford
2019,83,,,,,,Sekou Doumbouya
2019,84,80,,,,,Chuma Okeke
2019,81.5,77.5,102,5.9,8.5,8.75,Nickeil Alexander-Walker
2019,86,,,,,,Goga Bitadze
2019,82.5,83,107,5.6,8.5,9,Luka Samanic
2019,84,78,,,,,Matisse Thybulle
2019,80.25,80.25,102,4.9,8.25,9.5,Brandon Clarke
2019,81.75,79.5,104.5,5.4,9,10.5,Grant Williams
2019,84,81,107,3.6,9,9.75,Darius Bazley
2019,76,77.5,98,6.5,8.25,9.5,Ty Jerome
2019,85.25,78,104.5,5.9,8.75,10,Nassir Little
2019,82,79.5,104.5,4.6,8.25,9.5,Dylan Windler
2019,87,82.25,109.5,5.1,9.25,10.75,Mfiondu Kabengele
2019,78.75,77.5,99.5,7.5,8.25,8.5,Jordan Poole
2019,81.25,78,104,5.6,8,9.25,Keldon Johnson
2019,81,77.5,103,5.1,8.75,8.75,Kevin Porter Jr.
2019,86.5,83.75,110,4.5,9.25,9.5,Nicolas Claxton
2019,85.75,81.5,106.5,4.6,9.25,9.25,KZ Okpala
2019,78,72,94.5,5.5,8.75,9,Carsen Edwards
2019,87.25,82.25,110,5.4,9.25,10,Bruno Fernando
2019,79,,,,,,Marcos Louzada Silva
2019,82.25,77.5,102.5,5,8.25,9,Cody Martin
2019,79,,,,,,Deividas Sirvydis
2019,86.5,82.5,110,5.9,9.25,9.25,Daniel Gafford
2019,86,,,,,,Alen Smailagic
2019,83,79,,,,,Justin James
2019,87.75,79.25,103.5,6.3,9,9.5,Eric Paschall
2019,81.75,77.25,102.5,6.8,8.75,9,Admiral Schofield
2019,79.25,76.25,98,6.1,8.25,8.5,Jaylen Nowell
2019,91,86.5,115.5,7.1,9.25,9.5,Bol Bol
2019,85,80.5,106,3.9,9,10.5,Isaiah Roby
2019,85.25,76,103,8.4,9.5,9.75,Talen Horton-Tucker
2019,81.25,79.25,102,6,8.75,9.5,Ignas Brazdeikis
2019,79.75,78.5,101,4,9.5,9.25,Terance Mann
2019,81,76.25,100,6.1,8.5,9,Quinndary Weatherspoon
2019,85,79,,,,,Jarrell Brantley
2019,74.25,70.75,93.5,6.6,8,9.75,Tremont Waters
2019,84.25,81.75,105.5,5.7,9,10,Jalen McDaniels
2019,80,74,,,,,Justin Wright-Foreman
2019,84.25,77.5,103.5,4.7,8.75,9.25,Marial Shayok
2019,76.5,74.25,95.5,5.7,8,8.75,Kyle Guy
2019,77.5,75,97,5.1,8,8.25,Jaylen Hands
2019,75.25,74.75,95,5,7.5,9.25,Jordan Bone
2019,82.75,77.75,100.5,4.9,9,10,Miye Oni
2019,85.75,82.25,107,6.1,9.5,10.25,Dewan Hernandez
2019,79,,,,,,Vanja Marinkovic
2018,90,85,,,,,Deandre Ayton
2018,85,83,,,,,Marvin Bagley III
2018,84,,,,,,Luka Doncic
2018,89.25,83.25,110,7.2,10,10,Jaren Jackson Jr.
2018,75,73.75,95.5,5.35,8,9.25,Trae Young
2018,94,84.75,115.5,6.2,9.75,10.25,Mo Bamba
2018,88.5,82,109,7.85,8.5,9,Wendell Carter Jr.
2018,79.25,73.5,98.5,5.6,8.25,8.5,Collin Sexton
2018,83.75,81,108,4.95,8.75,9.25,Kevin Knox II
2018,85,79,,,,,Mikal Bridges
2018,83.5,78,104,3,9,9,Shai Gilgeous-Alexander
2018,81.5,78.75,103.5,5.9,9,9.75,Miles Bridges
2018,79.25,77,98,6.05,9,10,Jerome Robinson
2018,84.25,82.75,108.5,6.4,8.75,9.25,Michael Porter Jr.
2018,82.25,78.75,105,7.05,9,9.75,Troy Brown Jr.
2018,81.75,76,100,6.05,8.75,8.25,Zhaire Smith
2018,78,76.5,97.5,5,8.25,9,Donte DiVincenzo
2018,82.25,76.5,99.5,5.65,9,9.5,Lonnie Walker IV
2018,79.5,79.25,101.5,8.6,8.25,8.5,Kevin Huerter
2018,84,76.5,102,5.2,9,9.75,Josh Okogie
2018,79.25,76.5,97,5.55,8.25,10,Grayson Allen
2018,85,79,,,,,Chandler Hutchison
2018,79.5,72.75,97,6.4,8.75,8.5,Aaron Holiday
2018,81.25,75.25,99.5,7.7,8.75,9,Anfernee Simons
2018,84,83.5,108,6.75,9,10.75,Moritz Wagner
2018,78.75,77.25,100,4.85,8,9,Landry Shamet
2018,90,81,,,,,Robert Williams III
2018,81.25,77.5,102.5,6.5,9,9.25,Jacob Evans
2018,81,,,,,,Dzanan Musa
