name,draft_year,draft_number,college
Derrick Coleman,1990,1,Syracuse
Gary Payton,1990,2,Oregon State
Mahmoud Abdul-Rauf,1990,3,Louisiana State
Dennis Scott,1990,4,Georgia Tech
Kendall Gill,1990,5,Illinois
Felton Spencer,1990,6,Louisville
Lionel Simmons,1990,7,La Salle
Bo Kimble,1990,8,Loyola-Marymount
Willie Burton,1990,9,Minnesota
Rumeal Robinson,1990,10,Michigan
Tyrone Hill,1990,11,Xavier
Alec Kessler,1990,12,Georgia
Loy Vaught,1990,13,Michigan
Travis Mays,1990,14,Texas
Dave Jamerson,1990,15,Ohio
Terry Mills,1990,16,Michigan
Jerrod Mustaf,1990,17,Maryland
Duane Causwell,1990,18,Temple
Dee Brown,1990,19,Jacksonville
Gerald Glass,1990,20,Mississippi
Jayson Williams,1990,21,St. John's (NY)
Tate George,1990,22,Connecticut
Anthony Bonner,1990,23,Saint Louis
Dwayne Schintzius,1990,24,Florida
Alaa Abdelnaby,1990,25,Duke
Lance Blanks,1990,26,Texas
Elden Campbell,1990,27,Clemson
Les Jepsen,1990,28,Iowa
Toni Kukoc,1990,29,none
Carl Herrera,1990,30,Houston
Negele Knight,1990,31,Dayton
Brian Oliver,1990,32,Georgia Tech
Walter Palmer,1990,33,Dartmouth
Kevin Pritchard,1990,34,Kansas
Greg Foster,1990,35,Texas-El Paso
Trevor Wilson,1990,36,California-Los Angeles
A.J. English,1990,37,Virginia Union
Jud Buechler,1990,38,Arizona
Steve Scheffler,1990,39,Purdue
Bimbo Coles,1990,40,Virginia Tech
Stephen Bardo,1990,41,Illinois
Marcus Liberty,1990,42,Illinois
Tony Massenburg,1990,43,Maryland
Steve Henson,1990,44,Kansas State
Antonio Davis,1990,45,Texas-El Paso
Kenny Williams,1990,46,Elizabeth City State
Derek Strong,1990,47,Xavier
Cedric Ceballos,1990,48,Cal State-Fullerton
Phil Henderson,1990,49,Duke
Milos Babic,1990,50,Tennessee Tech
Tony Smith,1990,51,Marquette
Stefano Rusconi,1990,52,none
Abdul Shamsid-Deen,1990,53,Providence
Sean Higgins,1990,54,Michigan
Keith Askins,1990,undrafted,Alabama 
Cedric Ball,1990,undrafted,Charlotte 
David Benoit,1990,undrafted,Alabama 
Matt Bullard,1990,undrafted,Iowa 
Rick Calloway,1990,undrafted,Indiana 
Richard Coffey,1990,undrafted,Minnesota 
Marty Conlon,1990,undrafted,Providence 
Michael Curry,1990,undrafted,Georgia Southern 
Dan Godfread,1990,undrafted,Providence 
Tony Harris,1990,undrafted,New Orleans 
Skeeter Henry,1990,undrafted,Oklahoma 
Brian Howard,1990,undrafted,NC State 
Kurk Lee,1990,undrafted,Towson State 
Ian Lockhart,1990,undrafted,Tennessee 
Tharon Mayes,1990,undrafted,Florida State 
Chris Munk,1990,undrafted,USC 
Melvin Newbern,1990,undrafted,Minnesota 
Dan O'Sullivan,1990,undrafted,Fordham 
Alan Ogg,1990,undrafted,UAB 
Anthony Pullard,1990,undrafted,McNeese State 
Eldridge Recasner,1990,undrafted,Washington 
Larry Robinson,1990,undrafted,Centenary 
Irving Thomas,1990,undrafted,Florida State 
Stephen Thompson,1990,undrafted,Syracuse 
Andy Toolson,1990,undrafted,BYU 
Scott Williams,1990,undrafted,North Carolina 
Larry Johnson,1991,1,Nevada-Las Vegas
Kenny Anderson,1991,2,Georgia Tech
Billy Owens,1991,3,Syracuse
Dikembe Mutombo,1991,4,Georgetown
Steven Smith,1991,5,Michigan State
Doug Smith,1991,6,Missouri
Luc Longley,1991,7,New Mexico
Mark Macon,1991,8,Temple
Stacey Augmon,1991,9,Nevada-Las Vegas
Bison Dele,1991,10,Arizona
Terrell Brandon,1991,11,Oregon
Greg Anthony,1991,12,Nevada-Las Vegas
Dale Davis,1991,13,Clemson
Rich King,1991,14,Nebraska
Anthony Avent,1991,15,Seton Hall
Chris Gatling,1991,16,Old Dominion
Victor Alexander,1991,17,Iowa State
Kevin Brooks,1991,18,Louisiana-Lafayette
Labradford Smith,1991,19,Louisville
John Turner,1991,20,Phillips
Eric Murdock,1991,21,Providence
LeRon Ellis,1991,22,Syracuse
Stanley Roberts,1991,23,Louisiana State
Rick Fox,1991,24,North Carolina
Shaun Vandiver,1991,25,Colorado
Mark Randall,1991,26,Kansas
Pete Chilcutt,1991,27,North Carolina
Kevin Lynch,1991,28,Minnesota
George Ackles,1991,29,Nevada-Las Vegas
Rodney Monroe,1991,30,North Carolina State
Randy Brown,1991,31,New Mexico State
Chad Gallagher,1991,32,Creighton
Donald Hodge,1991,33,Temple
Myron Brown,1991,34,Slippery Rock
Mike Iuzzolino,1991,35,Saint Francis (PA)
Chris Corchiani,1991,36,North Carolina State
Elliot Perry,1991,37,Memphis
Joe Wylie,1991,38,Miami (FL)
Jimmy Oliver,1991,39,Purdue
Doug Overton,1991,40,La Salle
Sean Green,1991,41,Iona
Steve Hood,1991,42,James Madison
Lamont Strothers,1991,43,Christopher Newport
Alvaro Teheran,1991,44,Houston
Bobby Phills,1991,45,Southern University
Richard Dumas,1991,46,Oklahoma State
Keith Hughes,1991,47,Rutgers
Ike Austin,1991,48,Arizona State
Greg Sutton,1991,49,Oral Roberts
Joey Wright,1991,50,Texas
Zan Tabak,1991,51,none
Anthony Jones,1991,52,Oral Roberts
Von McDade,1991,53,Milwaukee
Marcus Kennedy,1991,54,Eastern Michigan
Darrell Armstrong,1991,undrafted,Fayetteville State 
James Blackwell,1991,undrafted,Dartmouth 
Walter Bond,1991,undrafted,Minnesota 
Demetrius Calip,1991,undrafted,Michigan 
John Crotty,1991,undrafted,Virginia 
Emanual Davis,1991,undrafted,Delaware State 
Patrick Eddie,1991,undrafted,Ole Miss 
Tony Farmer,1991,undrafted,Nebraska 
Jay Guidinger,1991,undrafted,Minnesota–Duluth 
Reggie Hanson,1991,undrafted,Kentucky 
Jerome Harmon,1991,undrafted,Louisville 
Keith Jennings,1991,undrafted,East Tennessee State 
Reggie Jordan,1991,undrafted,New Mexico State 
Cedric Lewis,1991,undrafted,Maryland 
Keith Owens,1991,undrafted,UCLA 
Robert Pack,1991,undrafted,USC 
Larry Stewart,1991,undrafted,Coppin State 
Brett Szabo,1991,undrafted,Augustana 
Carl Thomas,1991,undrafted,Eastern Michigan 
Charles Thomas,1991,undrafted,Eastern Michigan 
Donald Whiteside,1991,undrafted,Northern Illinois 
Lorenzo Williams,1991,undrafted,Stetson 
Travis Williams,1991,undrafted,South Carolina State 
Shaquille O'Neal,1992,1,Louisiana State
Alonzo Mourning,1992,2,Georgetown
Christian Laettner,1992,3,Duke
Jim Jackson,1992,4,Ohio State
LaPhonso Ellis,1992,5,Notre Dame
Tom Gugliotta,1992,6,North Carolina State
Walt Williams,1992,7,Maryland
Todd Day,1992,8,Arkansas
Clar. Weatherspoon,1992,9,Southern Mississippi
Adam Keefe,1992,10,Stanford
