name,draft_year,draft_number,college
A.J. Bramlett,1999,39,Arizona
A.J. Guyton,2000,32,Indiana
Aaron Brooks,2007,26,Oregon
Aaron Gordon,2014,4,Arizona
Aaron Gray,2007,49,Pittsburgh
Aaron Harrison,Undrafted,Undrafted,Kentucky
Aaron Holiday,2018,23,UCLA
Aaron Jackson,Undrafted,Undrafted,None
Aaron Miles,Undrafted,Undrafted,Kansas
Aaron Williams,Undrafted,Undrafted,Xavier
Abdel Nader,2016,58,Iowa State
Acie Law,2007,11,Texas A&M
Adam Harrington,Undrafted,Undrafted,Auburn
Adam Mokoka,Undrafted,Undrafted,None
Adam Morrison,2006,3,Gonzaga
Admiral Schofield,2019,42,Tennessee
Adonis Thomas,Undrafted,Undrafted,Memphis
Adreian Payne,2014,15,Michigan State
Adrian Caldwell,Undrafted,Undrafted,Lamar
Adrian Griffin,Undrafted,Undrafted,Seton Hall
AJ Hammons,2016,46,Purdue
AJ Price,2009,52,Connecticut
Al Horford,2007,3,Florida
Al Jefferson,2004,15,None
Al Thornton,2007,14,Florida State
Alan Anderson,Undrafted,Undrafted,Michigan State
Alan Williams,Undrafted,Undrafted,California-Santa Barbara
Alando Tucker,2007,29,Wisconsin
Alec Burks,2011,12,Colorado
Alec Peters,2017,54,Valparaiso
Aleksandar Djordjevic,Undrafted,Undrafted,None
Aleksandar Radojevic,1999,12,Barton Community College
Alen Smailagic,2019,39,None
Alex Abrines,2013,32,None
Alex Acker,2005,60,Pepperdine
Alex Caruso,Undrafted,Undrafted,Texas A&M
Alex Garcia,Undrafted,Undrafted,None
Alex Kirk,Undrafted,Undrafted,New Mexico
Alex Len,2013,5,Maryland
Alex Poythress,Undrafted,Undrafted,Kentucky
Alex Scales,Undrafted,Undrafted,Oregon
Alex Stepheson,Undrafted,Undrafted,USC
Alexander Johnson,2006,45,Florida State
Alexey Shved,Undrafted,Undrafted,None
Alexis Ajinca,2008,20,None
Al-Farouq Aminu,2010,8,Wake Forest
Alfonzo McKinnie,Undrafted,Undrafted,None
Alize Johnson,2018,50,Missouri State
Allan Ray,Undrafted,Undrafted,Villanova
Allen Crabbe,2013,31,California
Allonzo Trier,Undrafted,Undrafted,Arizona
Alonzo Gee,Undrafted,Undrafted,Alabama
Alton Ford,2001,50,Houston
Alvin Jones,2001,56,Georgia Tech
Alvin Sims,Undrafted,Undrafted,Louisville
Amar'e Stoudemire,2002,9,None
Amile Jefferson,Undrafted,Undrafted,Duke
Amir Coffey,Undrafted,Undrafted,None
Amir Johnson,2005,56,None
Anderson Varejao,2004,30,None
Andray Blatche,2005,49,None
Andre Barrett,Undrafted,Undrafted,Seton Hall
Andre Brown,Undrafted,Undrafted,DePaul
Andre Dawkins,Undrafted,Undrafted,Duke
Andre Drummond,2012,9,Connecticut
Andre Emmett,2004,35,Texas Tech
Andre Iguodala,2004,9,Arizona
Andre Ingram,Undrafted,Undrafted,American University
Andre Miller,1999,8,Utah
Andre Owens,Undrafted,Undrafted,Houston
Andre Roberson,2013,26,Colorado
Andrea Bargnani,2006,1,None
Andreas Glyniadakis,2003,58,None
Andrei Kirilenko,1999,24,None
Andres Nocioni,Undrafted,Undrafted,None
Andrew Bogut,2005,1,Utah
Andrew Bynum,2005,10,None
Andrew Gaze,Undrafted,Undrafted,Seton Hall
Andrew Goudelock,2011,46,College of Charleston
Andrew Harrison,2015,44,Kentucky
Andrew Nicholson,2012,19,St. Bonaventure
Andrew White III,Undrafted,Undrafted,Syracuse
Andrew Wiggins,2014,1,Kansas
Andris Biedrins,2004,11,None
Andy Panko,Undrafted,Undrafted,Lebanon Valley
Andy Rautins,2010,38,Syracuse
Anfernee Simons,2018,24,None
Angel Delgado,Undrafted,Undrafted,None
Ante Zizic,2016,23,None
Anthony Bennett,2013,1,Nevada-Las Vegas
Anthony Brown,2015,34,Stanford
Anthony Carter,Undrafted,Undrafted,Hawaii
Anthony Davis,2012,1,Kentucky
Anthony Grundy,Undrafted,Undrafted,North Carolina State
Anthony Morrow,Undrafted,Undrafted,Georgia Tech
Anthony Randolph,2008,14,Louisiana State
Anthony Roberson,Undrafted,Undrafted,Florida
Anthony Tolliver,Undrafted,Undrafted,Creighton
Antoine Rigaudeau,Undrafted,Undrafted,None
Antoine Wright,2005,15,Texas A&M
Antonio Anderson,Undrafted,Undrafted,Memphis
Antonio Blakeney,Undrafted,Undrafted,Louisiana State
Antonio Burks,2004,36,Memphis
Antonio Harvey,Undrafted,Undrafted,Pfeiffer
Antonis Fotsis,2001,47,None
Antonius Cleveland,Undrafted,Undrafted,S.E. Missouri
Anzejs Pasecniks,2017,25,None
Archie Goodwin,2013,29,Kentucky
Arinze Onuaku,Undrafted,Undrafted,Syracuse
Armon Johnson,2010,34,Nevada
Arnett Moultrie,2012,27,Mississippi State
Aron Baynes,Undrafted,Undrafted,Washington State
Arron Afflalo,2007,27,UCLA
Art Long,Undrafted,Undrafted,Cincinnati
Arvydas Macijauskas,Undrafted,Undrafted,None
Ashraf Amaya,Undrafted,Undrafted,Southern Illinois
Austin Daye,2009,15,Gonzaga
Austin Rivers,2012,10,Duke
Avery Bradley,2010,19,Texas
Avery Johnson,Undrafted,Undrafted,Southern
Awvee Storey,Undrafted,Undrafted,Arizona State
Axel Toupane,Undrafted,Undrafted,None
Bam Adebayo,2017,14,Kentucky
Baron Davis,1999,3,UCLA
Ben Bentil,2016,51,Providence
Ben Gordon,2004,3,Connecticut
Ben Handlogten,Undrafted,Undrafted,Western Michigan
Ben Hansbrough,Undrafted,Undrafted,Notre Dame
Ben McLemore,2013,7,Kansas
Ben Moore,Undrafted,Undrafted,Southern Methodist
Ben Simmons,2016,1,Louisiana State
Ben Uzoh,Undrafted,Undrafted,Tulsa
Ben Wallace,Undrafted,Undrafted,Virginia Union
Beno Udrih,2004,28,None
Bernard James,2012,33,Florida State
Bernard Robinson,2004,45,Michigan
Billy Garrett,Undrafted,Undrafted,DePaul
Billy Thomas,Undrafted,Undrafted,Kansas
Bismack Biyombo,2011,7,None
BJ Johnson,Undrafted,Undrafted,None
Blake Ahearn,Undrafted,Undrafted,Missouri State
Blake Griffin,2009,1,Oklahoma
Bo Outlaw,Undrafted,Undrafted,Houston
Boban Marjanovic,Undrafted,Undrafted,None
Bobby Brown,Undrafted,Undrafted,Cal State-Fullerton
Bobby Jones,2006,37,Washington
Bobby Portis,2015,22,Arkansas
Bobby Simmons,2001,41,DePaul
Bogdan Bogdanovic,2014,27,None
Bojan Bogdanovic,2011,31,None
Boniface Ndong,Undrafted,Undrafted,None
Bonzie Colson,Undrafted,Undrafted,Notre Dame
Boris Diaw,2003,21,None
Bostjan Nachbar,2002,15,None
Bracey Wright,2005,47,Indiana
Brad Miller,Undrafted,Undrafted,Purdue
Brad Wanamaker,Undrafted,Undrafted,Pittsburgh
Bradley Beal,2012,3,Florida
Brandan Wright,2007,8,North Carolina
Branden Dawson,2015,56,Michigan State
Brandin Knight,Undrafted,Undrafted,Pittsburgh
Brandon Armstrong,2001,23,Pepperdine
Brandon Bass,2005,33,Louisiana State
Brandon Clarke,2019,21,Gonzaga
Brandon Davies,Undrafted,Undrafted,Brigham Young
Brandon Goodwin,Undrafted,Undrafted,None
Brandon Hunter,2003,56,Ohio
Brandon Ingram,2016,2,Duke
Brandon Jennings,2009,10,None
Brandon Knight,2011,8,Kentucky
Brandon Paul,Undrafted,Undrafted,None
Brandon Roy,2006,6,Washington
Brandon Rush,2008,13,Kansas
Brandon Sampson,Undrafted,Undrafted,None
Brandon Williams,Undrafted,Undrafted,Davidson
Brendan Haywood,2001,20,North Carolina
Brent Scott,Undrafted,Undrafted,Rice
Brett Szabo,Undrafted,Undrafted,Augustana (SD)
Brian Bowen II,Undrafted,Undrafted,None
Brian Cardinal,2000,44,Purdue
Brian Cook,2003,24,Illinois
Brian Roberts,Undrafted,Undrafted,Dayton
Brian Scalabrine,2001,34,Southern California
Briante Weber,Undrafted,Undrafted,Virginia Commonwealth
Brice Johnson,2016,25,North Carolina
Britton Johnsen,Undrafted,Undrafted,Utah
Brook Lopez,2008,10,Stanford
Bruce Bowen,Undrafted,Undrafted,Cal State-Fullerton
Bruce Brown,2018,42,Miami
Bruno Caboclo,2014,20,None
Bruno Fernando,2019,34,Maryland
Bryce Cotton,Undrafted,Undrafted,Providence
Bryce Dejean-Jones,Undrafted,Undrafted,Iowa State
Bryn Forbes,Undrafted,Undrafted,Michigan State
Buddy Hield,2016,6,Oklahoma
