hs_recruit_ranking,name
1,Zach Randolph
2,Eddie Griffin
3,Darius Miles
4,Gerald Wallace
5,Marcus Taylor 
6,DeShawn Stevenson
7,Chris Duhon
8,Mario Austin
9,Jared Jeffries
10,Taliek Brown 
11,Andre Brown
12,Omar Cook
13,Jerome Harper
14,Alton Ford
15,Andre Barrett
16,Darius Rice 
17,Abdou Diame 
18,Imari Sawyer 
19,Cedrick Banks 
20,Rolando Howell 
21,Travon Bryant 
22,Justin Reed
23,Chris Wilcox
24,Brian Morrison 
25,Orien Greene
26,Marcus Toney-El 
27,Glen Worley 
28,T.J. Cummings 
29,Desmon Farmer
30,Nick Anderson 
31,Garner Meads 
32,Rickey Paulding 
33,Adam Boone 
34,Mike Sweetney
35,Scott Hazelton 
36,Cliff Hawkins 
37,Ivan McFarlin
38,Scooter Sherrill 
39,Herve Lamizana 
40,Brian Boddicker 
41,Jared Reiner
42,Jason Parker 
43,Arthur Johnson 
44,Terrence Crawford 
45,Michael Joiner 
46,Luke Whitehead 
47,Caron Butler
48,Eddie Starks 
49,Brandon Brooks 
50,Brandon Mouton 
51,Brett Buscher 
52,Mohamed Diakite 
53,Romain Sato 
54,Neil Fingleton 
55,Kendall Dartez 
56,A.J. Moye 
57,Maurice Young 
58,Jake Sullivan 
59,Demetrius Smith 
60,Matt Lottich 
61,Marvin Lewis 
62,Modibo Diarra 
63,Kyle Cuffe 
64,Omar Weaver
65,Avery Queen 
66,James Thomas
67,Bernard Robinson
68,Scooter McFadgon 
69,Luke Ridnour
70,JueMichael Young 
71,Dwon Clifton 
72,Andrew Zahn 
73,Wesley Stokes 
74,Jeff McMillan 
75,Billy Richmond 
76,Tony Stockman 
77,Nick Smith 
78,Liberto Tetimadingar 
79,Johnnie Gilbert 
80,Keith Triplett 
81,Julian Sensley 
82,Lou Wright 
83,Derrick Snowden 
84,Antonio Hargrove
85,Scott Merritt 
86,Brandon Crump 
87,Chris Daniels 
88,Taurance Johnson 
89,Timmy Bowers 
90,Dave Holmes 
91,Tory Reed 
92,Maurice Searight 
93,Yamar Diene 
94,Patrick Dennehy 
95,Mike Bell 
96,Barry Thompson 
97,Omari Westley 
98,Gerald Riley 
99,Marcus Melvin 
100,Jimmy Baxter 
1,Eddy Curry
2,Kelvin Torbert 
3,Dajuan Wagner
4,Tyson Chandler
5,Ousmane Cisse
6,Kwame Brown
7,Julius Hodge
8,DeSagana Diop
9,Rick Rickert 
10,David Lee
11,Jawad Williams
12,Carlos Hurt 
13,Jonathan Hargett 
14,David Harrison
15,Aaron Miles
16,Mo Williams
17,T.J. Ford
18,Josh Childress
19,Cedric Bozeman
20,Wayne Simien
21,Rashaad Carruth 
22,James White
23,Jamal Sampson
24,John Allen 
25,Jackie Manuel 
26,JaQuan Hart 
27,Anthony Richardson 
28,Dijon Thompson
29,Daniel Ewing
30,Alan Anderson
31,Dennis Latimore 
32,Pierre Pierce 
33,Jason Maxiell
34,Chris Thomas 
35,Robert Whaley
36,Billy Edelin 
37,Melvin Scott 
38,Elton Brown 
39,Andre Patterson 
40,Travis Diener
41,Ben Gordon
42,Julian Sensley 
43,Dommanic Ingerson 
44,Brandon Bender 
45,Brandon Fuss-Cheatham 
46,Chuck Hayes
47,Earnest Shelton 
48,Charles Frederick 
49,Ed Nelson 
50,Jamaal Levy 
51,Quemont Greer 
52,Keith Jackson 
53,Marco Killingsworth 
54,Will Bynum
55,Tony Key
56,Joshua Tinch 
57,Chey Christie 
58,Najeeb Echols 
59,Dwayne Mitchell 
60,Levi Watkins 
61,Matt Sylvester 
62,Roger Powell
63,Harvey Thomas 
64,Levar Seals 
65,Josh Powell
66,Marcellus Sommerville 
67,Duane John 
68,Errick Craven 
69,Salim Stoudamire
70,Rob Little 
71,Larry Turner 
72,Anthony Vasser
73,Marcus Spears
74,Isma'Il Muhammad 
75,Marcus Campbell 
76,Anthony Rice 
77,Winsome Frazier 
78,Jamaal Williams 
79,Craig Forth 
80,Erroll Knight 
81,Ernest Turner 
82,Taurance Johnson 
83,Mitchell Baldwin 
84,Eddie Basden
85,Vytas Danelius 
86,Jermaine Watson 
87,Channing Frye
88,Lawrence Roberts
89,Derek Stribling 
90,Mike Jensen 
91,Keith Langford
92,Jason Clark 
93,Jason Braxton 
94,Chris Hernandez 
95,Marcus Austin 
96,Terry Licorish
97,B.J. Elder 
98,Carl Krauser 
99,Emeka Okafor
100,Michael Fey 
1,Amar'e Stoudemire
2,Carmelo Anthony
3,Raymond Felton
4,Rashad McCants
5,Jason Fraser 
6,Chris Bosh
7,Paul Davis
8,Shelden Williams
9,Sean May
10,DeAngelo Collins
11,J.J. Redick
12,Bracey Wright
13,Evan Burns 
14,Shavlik Randolph
15,Daniel Horton 
16,Anthony Roberson
17,Chris Rodgers 
18,Antoine Wright
19,Dee Brown
20,Hassan Adams
21,Sean Dockery 
22,Brad Buckman 
23,Sani Ibrahim
24,Rashad Anderson 
25,Bryan Hopkins 
26,Lenny Cooke
27,Andre Iguodala
28,Elijah Ingram 
29,Travis Garrison 
30,Michael Thompson
31,Kelenna Azubuike
32,Kevin Bookout 
33,Kennedy Winston 
34,Denham Brown 
35,Jimmy McKinney 
36,Eric Williams 
37,Torin Francis 
38,Gerry McNamara 
39,Allan Ray
40,Matt Walsh
41,Alexander Johnson
42,Curtis Sumpter 
43,John Gilchrist 
44,Antonio Lawrence 
45,Brandon Roy
46,Jarrett Jack
47,De'Angelo Alexander 
48,Deron Williams
49,Lester Abram 
50,Greg Brunner 
51,Ike Diogu
52,Matt Trannon 
53,Mario Boggan 
54,Maurice Ager
55,Eric Hicks 
56,Randy Foye
57,Steve Novak
58,Derrick Byars
