col_lkup,height,position,steals,blocks,minutes_played,personal_fouls,assists,free_throw_attempts,free_throws,offensive_rebounds,defensive_rebounds,points,total_rebounds,turnovers,two_point_attempts,two_pointers,three_point_attempts,three_pointers,yrs_played,steals_per_40,blocks_per_40,personal_fouls_per_40,assists_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,defensive_rebounds_per_40,points_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,three_point_attempts_per_40,three_pointers_per_40,free_throw_percentage,three_point_percentage,two_point_percentage,max_season,nba_value_over_replacement_player,nba_steals,nba_blocks,nba_minutes_played,nba_assists,nba_turnovers,nba_attempted_three_point_field_goals,nba_attempted_free_throws,nba_steals_per_40,nba_blocks_per_40,nba_assists_per_40,nba_turnovers_per_40,nba_attempted_three_point_field_goals_per_40,nba_attempted_free_throws_per_40,nba_three_point_percentage,nba_free_throw_percentage,nba_assist_percentage,nba_block_percentage,nba_steal_percentage,nba_usage_percentage,nba_total_rebound_percentage,nba_true_shooting_percentage,nba_turnover_percentage
Aaron Brooks oregon,73,Guard,127,16,3759,265,470,367,306,86,311,1511,397,303,616,295,548,205,4,1.35,0.17,2.82,5,3.91,3.26,0.92,3.31,16.08,4.22,3.22,6.55,3.14,5.83,2.18,0.83413079,0.373948905,0.479113636,2006,2.5,162,30,6809,992,500,1179,659,0.95,0.18,5.83,2.94,6.93,3.87,0.363783611,0.850819812,24.45720488,0.30793068,1.216905272,24.57765722,4.27259157,0.528438014,13.45859774
Aaron Gordon arizona,81,Forward,34,39,1187,90,75,180,76,102,201,470,303,55,337,173,45,16,1,1.15,1.31,3.03,2.53,6.07,2.56,3.44,6.77,15.84,10.21,1.85,11.36,5.83,1.52,0.54,0.422,0.356,0.513,2013,2.9,204,162,6867,447,300,799,696,1.19,0.94,2.6,1.75,4.65,4.05,0.309136421,0.698275862,10.29187418,1.903145478,1.470452891,20.08526285,12.37147226,0.531475462,9.679379642
Aaron Gray pittsburgh,85,Center,41,130,2360,238,147,405,241,286,504,1109,790,176,789,434,0,0,4,0.69,2.2,4.03,2.49,6.86,4.08,4.85,8.54,18.8,13.39,2.98,13.37,7.36,0,0,0.594822222,,0.549839037,2006,-0.7,55,57,2170,125,147,2,220,1.01,1.05,2.3,2.71,0.04,4.06,0,0.583818182,9.055058065,2.008234101,1.323839631,16.55583963,17.81376774,0.537572406,18.74802765
Aaron McKie temple,77,Guard,196,23,3497,192,301,438,346,0,0,1650,586,176,850,385,486,178,3,2.24,0.26,2.2,3.44,5.01,3.96,0,0,18.87,6.7,2.01,9.72,4.4,5.56,2.04,0.789506849,0.366395062,0.452925882,1993,3.2,306,72,6524,630,340,311,437,1.88,0.44,3.86,2.08,1.91,2.68,0.32724052,0.765259897,15.09696475,0.848254139,2.489201104,15.50354047,7.908968118,0.491124479,15.32000858
Aaron Williams xavier,81,Forward,67,197,2765,341,124,304,215,0,0,1073,713,237,771,429,0,0,4,0.97,2.85,4.93,1.79,4.4,3.11,0,0,15.52,10.31,3.43,11.15,6.21,0,0,0.707246711,,0.556520104,1992,-0.3,37,73,1404,30,90,3,147,1.05,2.08,0.85,2.56,0.09,4.19,0,0.72340136,3.614923077,3.945935897,1.40148433,18.26612536,13.11961538,0.573281524,15.92312963
Acie Earl iowa,82,Forward,111,365,3204,281,139,725,493,0,0,1779,811,334,1258,640,7,2,4,1.39,4.56,3.51,1.74,9.05,6.15,0,0,22.21,10.12,4.17,15.71,7.99,0.09,0.02,0.679998621,0.285571429,0.508774245,1992,-2.5,63,126,2512,61,170,9,387,1,2.01,0.97,2.71,0.14,6.16,0,0.66524031,3.925437898,3.544745223,1.266520701,21.59004777,11.87595541,0.457903662,13.85843949
Acie Law texas-am,75,Guard,156,2,3760,323,545,454,345,56,323,1669,379,299,979,491,319,114,4,1.66,0.02,3.44,5.8,4.83,3.67,0.6,3.44,17.76,4.03,3.18,10.41,5.22,3.39,1.21,0.759806167,0.357435737,0.501522983,2006,-1.2,83,4,2385,309,145,115,221,1.39,0.07,5.18,2.43,1.93,3.71,0.233484058,0.779074242,19.59206541,0.128259958,1.806260797,16.71019706,4.733669602,0.490512872,16.44923103
Adam Keefe stanford,81,Forward,141,55,4002,266,210,886,652,0,0,2319,1119,309,1369,823,15,7,4,1.41,0.55,2.66,2.1,8.86,6.52,0,0,23.18,11.18,3.09,13.68,8.23,0.15,0.07,0.73587246,0.467,0.601298758,1991,0.7,164,91,5290,208,310,5,722,1.24,0.69,1.57,2.34,0.04,5.46,0,0.6966759,5.588884688,1.350226843,1.591285444,15.41470699,15.75810964,0.573510586,16.55255198
Adonal Foyle colgate,82,Center,61,492,3178,213,134,715,351,0,0,1776,1103,329,1291,711,10,1,3,0.77,6.19,2.68,1.69,9,4.42,0,0,22.35,13.88,4.14,16.25,8.95,0.13,0.01,0.491193007,0.1001,0.550597211,1996,-1.2,85,387,4381,122,231,1,271,0.78,3.53,1.11,2.11,0.01,2.47,0,0.428044281,4.42232367,6.254645058,0.999794567,13.59685003,14.60020543,0.454773339,16.41463136
Adreian Payne michigan-state,82,Center,76,141,2759,297,85,367,277,211,524,1232,735,187,701,386,149,61,4,1.1,2.04,4.31,1.23,5.32,4.02,3.06,7.6,17.86,10.66,2.71,10.16,5.6,2.16,0.88,0.755049046,0.409355705,0.55060913,2013,-1.4,45,27,1403,66,90,59,97,1.28,0.77,1.88,2.57,1.68,2.77,0.255783898,0.681429241,7.224859587,1.557826087,1.65490948,17.74865075,12.9117712,0.454146636,16.11824448
