level_0,assist_percentage,block_percentage,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,player_id,points_produced,position,steal_percentage,team_abbreviation,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_percentage,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,col_lkup,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,max_mp,year,all_star_flag,class
2006-07,24,0.3,,pac-10,,,2.2,0.546,463,0.46,213,0.294,0.846,35,35,73,1289,,,3.6,,aaron-brooks-1,,Guard,,oregon,0.428,0.404,7,0.589,14.4,0.502,24.4,161,5.7,0.178,Aaron Brooks,2006,4,Aaron Brooks oregon,4.62,0.19,3.66,4.22,3.57,0.96,2.73,19.27,1.49,6.14,2.48,4.62,2.76,8.22,4.13,2919,,0,starter
2013-14,13,3.4,8.4,pac-12,4.7,19.3,3.3,0.516,382,0.495,189,0.471,0.422,38,38,81,1187,3.7,10.4,2.1,20.4,aaron-gordon-1,469,Forward,1.8,arizona,0.118,0.356,14.9,0.503,10.5,0.513,23.2,225,5.4,0.183,Aaron Gordon,2013,1,Aaron Gordon arizona,2.53,1.31,6.77,6.07,2.56,3.44,3.03,15.84,1.15,1.52,0.54,10.21,1.85,11.36,5.83,2298,,0,starter
2006-07,,,,big-east,,,4.2,0.565,361,0.565,204,0.46,0.548,36,35,85,1016,,,2.5,,aaron-gray-1,,Center,,pittsburgh,0,,,0.567,11.1,0.565,,270,6.8,0.266,Aaron Gray,2006,4,Aaron Gray pittsburgh,2.4,2.44,8.7,6.54,3.58,4.72,3.58,19.65,0.59,0,0,13.43,2.17,14.21,8.03,715,,0,scrub
1993-94,,,,atlantic-10,,,,0.463,481,0.401,193,0.349,0.815,31,,77,1214,,,,,aaron-mckie-1,,Guard,,temple,0.331,0.371,,0.519,8.5,0.416,,209,,,Aaron McKie,1993,3,Aaron McKie temple,3.23,0.33,,5.54,4.51,,1.78,19.18,1.91,5.24,1.94,7.38,1.71,10.61,4.42,2259,,0,starter
1992-93,,,,midwestern-collegiate,,,,0.543,234,0.543,127,0.402,0.777,30,,81,843,,,,,aaron-williams-1,,Forward,,xavier,0,,,0.587,19.4,0.543,,220,,,Aaron Williams,1992,4,Aaron Williams xavier,2.56,2.61,,4.46,3.46,,4.41,15.52,1,0,0,10.11,3.18,11.1,6.03,757,,0,scrub
1992-93,,,,big-ten,,,,0.505,402,0.505,203,0.483,0.701,32,,82,992,,,,,acie-earl-1,,Forward,,iowa,0.007,0,,0.548,16.8,0.509,,240,,,Acie Earl,1992,4,Acie Earl iowa,1.61,3.55,,7.82,5.48,,2.78,21.85,1.65,0.12,0,11.53,4.03,16.09,8.19,1149,,0,scrub
2006-07,30.8,0.1,,big-12,,,2.1,0.544,432,0.5,216,0.428,0.778,34,34,75,1153,,,3.8,,acie-law-1,,Guard,,texas-am,0.192,0.458,6,0.591,14.5,0.51,27.8,195,5.9,0.203,Acie Law,2006,4,Acie Law texas-am,5.86,0.03,3.64,6.42,5,0.28,2.88,21.3,1.35,2.88,1.32,3.92,3.05,12.11,6.18,865,,0,scrub
1991-92,,,,pac-10,,,,0.569,488,0.564,275,0.492,0.746,29,29,81,1080,,,,,adam-keefe-1,,Forward,,stanford,0.023,0.455,,0.61,13.8,0.566,,230,,,Adam Keefe,1991,4,Adam Keefe stanford,3.19,0.52,,8.89,6.63,,2.33,27.19,1.81,0.41,0.19,13.15,3.56,17.67,10,1708,,0,role_player
1996-97,,,,patriot,,,2.7,0.566,490,0.565,277,0.533,0.487,28,,82,1055,,,3.3,,adonal-foyle-1,,Center,,colgate,0.014,0.143,,0.555,16,0.571,,250,6,0.227,Adonal Foyle,1996,3,Adonal Foyle colgate,2.05,6.82,,9.9,4.82,,2.27,25.86,0.72,0.27,0.04,13.95,4.44,18.31,10.46,1654,,0,role_player
2013-14,10.2,3.8,7.5,big-ten,2,22.9,1.7,0.565,354,0.503,178,0.39,0.79,31,28,82,870,5.5,6.8,2.7,25.1,adreian-payne-1,443,Center,1,michigan-state,0.294,0.423,15.2,0.607,13.1,0.536,28.9,245,4.3,0.2,Adreian Payne,2013,4,Adreian Payne michigan-state,1.89,1.29,8.14,6.34,5.01,2.21,3.68,23.4,0.69,4.78,2.02,10.34,2.9,11.49,6.16,739,,0,scrub
1995-96,,,,big-east,,,1.8,0.5,438,0.486,213,0.368,0.665,28,,77,983,,,1.9,,adrian-griffin-1,,Forward,,seton-hall,0.1,0.273,,0.53,14.5,0.51,,217,3.7,0.149,Adrian Griffin,1995,4,Adrian Griffin seton-hall,3.5,0.65,,6.55,4.35,,3.34,22.18,2.85,1.79,0.49,9.4,3.54,16.03,8.18,1927,,0,role_player
2009-10,9.1,4.5,,acc,,20.5,2.2,0.471,374,0.447,167,0.532,0.698,31,30,81,970,,14.6,2,,al-farouq-aminu-1,488,Forward,2.6,wake-forest,0.176,0.273,17.6,0.524,17.4,0.484,27.5,215,4.3,0.176,Al-Farouq Aminu,2009,2,Al-Farouq Aminu wake-forest,1.69,1.81,8.21,8.21,5.73,5.48,3.75,20.25,1.81,2.72,0.74,13.69,4.08,12.7,6.14,2066,,0,role_player
2006-07,,,,sec,,,4,0.608,306,0.608,186,0.66,0.644,38,36,82,1057,,,3.5,,al-horford-1,,Forward,,florida,0.007,0,,0.624,14.5,0.612,,245,7.5,0.283,Al Horford,2006,3,Al Horford florida,3.1,2.65,9.99,7.64,4.92,3.63,3.56,19,1.06,0.08,0,13.62,2.57,11.5,7.04,2845,2010,1,all_star
