,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played,college,lkup,col_lkup
0,23.5,0.6,7.9,0.218,2.5,1.1,0.484,5.2,0.535,15.1,21.8,-0.2,608,0.3,Aaron Brooks,2008,23,1,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
1,20.2,0.3,7,0.22,2,1.2,0.395,4.6,0.521,12.7,22.9,-0.9,1998,0.6,Aaron Brooks,2009,24,2,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
2,25.6,0.3,6.6,0.224,2,1.2,0.394,4.2,0.549,13.7,25.7,0.7,2919,1.9,Aaron Brooks,2010,25,3,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
3,28.937,0.2,5.156,0.24027,1.759,1.337,0.39926,3.489,0.49016,13.313,25.952,-2.99,1284,-0.6,Aaron Brooks,2011,26,4,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
4,18.012,0.816,7.896,0.16512,1.464,1.492,0.42376,4.632,0.55492,16.492,18.064,-2.176,997,0,Aaron Brooks,2013,28,5,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
5,23.284,0.6,6.672,0.16322,3.152,1.646,0.42802,4.908,0.51766,15.786,20.454,-0.994,1557,0.8,Aaron Brooks,2014,29,6,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
6,24.2,0.6,7.5,0.213,1.9,1.5,0.383,4.8,0.534,14.9,25,-0.8,1885,0.5,Aaron Brooks,2015,30,7,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
7,26,0.7,7.5,0.136,2,1.4,0.394,4.8,0.494,14.2,22.9,-2.6,1108,-0.2,Aaron Brooks,2016,31,8,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
8,20.7,0.9,6.3,0.133,2.3,1.4,0.427,4.3,0.507,17.2,19.2,-3.7,894,-0.4,Aaron Brooks,2017,32,9,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
9,15.1,0,6.2,0.159,4.2,1.6,0.449,5.2,0.508,13,19.9,-3.8,189,-0.1,Aaron Brooks,2018,33,10,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
10,6.3,2.2,17.8,0.293,6.4,1.3,0.231,12,0.517,13.9,15.5,-2.7,797,-0.2,Aaron Gordon,2015,19,1,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
11,10.3,2.4,21.3,0.333,9,1.6,0.245,15.1,0.541,9,17.3,1,1863,1.4,Aaron Gordon,2016,20,2,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
12,10.5,1.4,14.1,0.251,5.3,1.4,0.309,9.6,0.53,8.5,20.1,-1,2298,0.6,Aaron Gordon,2017,21,3,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
13,11.7,1.9,21.5,0.26,5,1.5,0.395,13.2,0.53,10,24.7,0.3,1909,1.1,Aaron Gordon,2018,22,4,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
14,16.6,1.8,18.4,0.242,5.2,1.1,0.332,11.7,0.538,12.3,21.8,0.6,2633,1.7,Aaron Gordon,2019,23,5,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
15,11.4,2,18.7,0.485,12.5,1.8,0.005,15.5,0.529,18.7,22,-3.5,613,-0.2,Aaron Gray,2008,23,1,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
16,9.6,1.8,21.7,0.353,13.5,1,0.006,17.6,0.508,17.2,14.5,-3.4,715,-0.2,Aaron Gray,2009,24,2,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
17,10.616,2.688,23.092,0.34224,16.676,1.512,0,19.816,0.57392,17.02,16.452,-1.308,311,0,Aaron Gray,2010,25,3,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
18,4.7,1.9,25.8,0.343,13.4,1.1,0,19.6,0.566,21.9,13.1,-4,531,-0.3,Aaron Gray,2011,26,4,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
19,5.5,1.7,28.3,0.292,12.1,1.5,0,20.3,0.526,21.9,13.5,-3.5,813,-0.3,Aaron Gray,2012,27,5,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
