,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,three_point_percentage,free_throw_percentage,turnover_percentage,usage_percentage,box_plus_minus,name,year,minutes_played,value_over_replacement_player,attempted_three_point_field_goals,attempted_free_throws,steals,assists,blocks,turnovers,age,yrs_played,college,lkup,col_lkup
1,23.5,0.6,7.9,0.218,2.5,1.1,0.484,5.2,0.535,0.330275229,0.857142857,15.1,21.8,-0.2,Aaron Brooks,2008,608,0.3,109,49,13,87,5,44,23,1,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
2,20.2,0.3,7,0.22,2,1.2,0.395,4.6,0.521,0.365695793,0.86627907,12.7,22.9,-0.9,Aaron Brooks,2009,1998,0.6,309,172,46,238,8,125,24,2,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
3,25.6,0.3,6.6,0.224,2,1.2,0.394,4.2,0.549,0.398095238,0.822147651,13.7,25.7,0.7,Aaron Brooks,2010,2919,1.9,525,298,69,434,14,232,25,3,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
4,28.937,0.2,5.156,0.24027,1.759,1.337,0.39926,3.489,0.49016,0.300427449,0.890644684,13.313,25.952,-2.99,Aaron Brooks,2011,1284,-0.3,236,140,34,233,3,99,26,4,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
5,18.012,0.816,7.896,0.16512,1.464,1.492,0.42376,4.632,0.55492,0.374263217,0.738461538,16.492,18.064,-2.176,Aaron Brooks,2013,997,0,134,52,30,114,10,67,28,5,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
6,23.284,0.6,6.672,0.16322,3.152,1.646,0.42802,4.908,0.51766,0.38369906,0.873877005,15.786,20.454,-0.994,Aaron Brooks,2014,1557,0.4,248,95,52,233,13,117,29,6,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
7,24.2,0.6,7.5,0.213,1.9,1.5,0.383,4.8,0.534,0.38658147,0.833333333,14.9,25,-0.8,Aaron Brooks,2015,1885,0.5,313,174,54,261,15,157,30,7,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
8,26,0.7,7.5,0.136,2,1.4,0.394,4.8,0.494,0.356756757,0.765625,14.2,22.9,-2.6,Aaron Brooks,2016,1108,-0.2,185,64,30,180,10,82,31,8,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
9,20.7,0.9,6.3,0.133,2.3,1.4,0.427,4.3,0.507,0.375,0.8,17.2,19.2,-3.7,Aaron Brooks,2017,894,-0.4,128,40,25,125,9,66,32,9,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
10,15.1,0,6.2,0.159,4.2,1.6,0.449,5.2,0.508,0.35483871,0.727272727,13,19.9,-3.8,Aaron Brooks,2018,189,-0.1,31,11,6,20,0,11,33,10,Oregon,Aaron Brooks Oregon,Aaron Brooks oregon
11,6.3,2.2,17.8,0.293,6.4,1.3,0.231,12,0.517,0.270833333,0.721311475,13.9,15.5,-2.7,Aaron Gordon,2015,797,-0.2,48,61,21,33,22,38,19,1,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
12,10.3,2.4,21.3,0.333,9,1.6,0.245,15.1,0.541,0.295774648,0.668393782,9,17.3,1,Aaron Gordon,2016,1863,1.4,142,193,59,128,55,66,20,2,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
13,10.5,1.4,14.1,0.251,5.3,1.4,0.309,9.6,0.53,0.288389513,0.718894009,8.5,20.1,-1,Aaron Gordon,2017,2298,0.6,267,217,65,150,40,89,21,3,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
14,11.7,1.9,21.5,0.26,5,1.5,0.395,13.2,0.53,0.33625731,0.697777778,10,24.7,0.3,Aaron Gordon,2018,1909,1.1,342,225,59,136,45,107,22,4,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
15,16.6,1.8,18.4,0.242,5.2,1.1,0.332,11.7,0.538,0.34870317,0.731225296,12.3,21.8,0.6,Aaron Gordon,2019,2633,1.7,347,253,57,289,56,162,23,5,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
16,17.4,1.7,20.3,0.292,5.5,1.2,0.309,12.7,0.516,0.308016878,0.674107143,10.4,20.7,0,Aaron Gordon,2020,2017,1,237,224,51,228,39,100,24,6,Arizona,Aaron Gordon Arizona,Aaron Gordon arizona
17,11.4,2,18.7,0.485,12.5,1.8,0.005,15.5,0.529,0,0.565656566,18.7,22,-3.5,Aaron Gray,2008,613,-0.2,1,99,21,41,16,57,23,1,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
18,9.6,1.8,21.7,0.353,13.5,1,0.006,17.6,0.508,0,0.576271186,17.2,14.5,-3.4,Aaron Gray,2009,715,-0.2,1,59,14,46,18,40,24,2,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
19,10.616,2.688,23.092,0.34224,16.676,1.512,0,19.816,0.57392,0,0.765714286,17.02,16.452,-1.308,Aaron Gray,2010,311,0,0,28,9,22,11,18,25,3,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
20,4.7,1.9,25.8,0.343,13.4,1.1,0,19.6,0.566,0,0.5,21.9,13.1,-4,Aaron Gray,2011,531,-0.3,0,34,11,16,12,32,26,4,Pittsburgh,Aaron Gray Pittsburgh,Aaron Gray pittsburgh
