assist_percentage,block_percentage,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,player_id,points_produced,position,steal_percentage,team_abbreviation,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_percentage,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
14.8,1.2,7.9,horizon,0.4,23.3,1.9,0.528,468,0.466,218,0.415,0.887,29,29,81,1019,7.5,8.5,4.2,28.7,alec-peters-1,625,Forward,1.3,valparaiso,0.342,0.363,16.2,0.594,11.2,0.519,30.8,225,6.1,0.241,Alec Peters,2016,4,2.51,0.43,8.6,7.62,6.75,2.9,2.51,26.14,0.9,6.28,2.28,11.5,2.79,12.09,6.28
10.7,0.3,2.4,sec,-1.8,12.9,0,0.52,424,0.458,194,0.3,0.724,31,30,76,1018,4.2,3.4,2.1,18.1,antonio-blakeney-1,483,Guard,1.1,louisiana-state,0.349,0.358,8,0.55,11.7,0.511,25.4,186,2.1,0.084,Antonio Blakeney,2016,2,2.12,0.12,4.6,4.99,3.61,1.26,1.93,20.94,0.83,5.82,2.08,5.85,2.51,10.84,5.54
0,0,5.6,acc,4,23.8,0,0.571,7,0.571,4,0.429,1,1,0,80,16,1.6,0,0.1,30.8,austin-nichols-2,8,Forward,0,virginia,0.143,0,12.1,0.653,0,0.667,30.6,228,0.1,0.302,Austin Nichols,2016,3,0,0,7.5,7.5,7.5,0,7.5,27.5,0,2.5,0,7.5,0,15,10
13.3,1.2,6.8,big-ten,1.8,7.6,1.6,0.538,432,0.419,181,0.146,0.905,36,35,76,1129,5,0.6,3,17.6,bronson-koenig-1,456,Guard,1.3,wisconsin,0.606,0.393,4.1,0.565,9.9,0.459,23.7,190,4.6,0.164,Bronson Koenig,2016,4,2.59,0.43,2.52,2.23,2.02,0.21,2.16,18.49,0.81,9.28,3.65,2.73,1.81,6.02,2.76
18.9,2.5,9.4,big-ten,3.4,32.7,2.6,0.572,421,0.527,222,0.499,0.781,35,35,81,1139,6.1,10.7,3.7,26.2,caleb-swanigan-1,640,Forward,0.8,purdue,0.202,0.447,22.5,0.62,18.5,0.548,28.1,260,6.4,0.224,Caleb Swanigan,2016,2,3.76,0.98,11.94,7.37,5.76,3.37,3.41,22.69,0.53,2.99,1.33,15.31,4.14,11.8,6.46
18.9,3.7,7.5,atlantic-10,2.5,14.9,1.8,0.529,332,0.455,151,0.455,0.702,29,27,77,915,5,3.8,2.1,21.3,charles-cooke-1,437,Guard,2,dayton,0.37,0.398,9.5,0.566,13.1,0.488,26.1,192,3.9,0.172,Charles Cooke,2016,4,3.58,1.22,5.25,6.6,4.63,1.27,2.45,19.98,1.4,5.38,2.14,6.51,2.67,9.14,4.46
3.5,11.8,8,pac-12,4,20.1,1.8,0.591,269,0.524,141,0.316,0.565,31,12,82,731,4,9,2,25.3,chris-boucher-1,318,Forward,1,oregon,0.383,0.35,14.9,0.592,9.4,0.633,23.6,200,3.8,0.206,Chris Boucher,2016,2,0.71,4.32,7.33,4.65,2.63,2.95,4.54,20.03,0.66,5.64,1.97,10.29,1.75,9.08,5.75
6.9,0.6,9.4,aac,1.3,18.1,2,0.595,430,0.47,202,0.123,0.83,32,32,77,1098,8.2,5.1,3.9,23.9,damyean-dotson-1,482,Guard,1.6,houston,0.567,0.443,11.5,0.611,6.8,0.505,23.1,209,5.9,0.216,Damyean Dotson,2016,4,1.31,0.18,6.3,1.93,1.6,1.79,1.93,20.26,1.06,8.89,3.93,8.09,1.2,6.78,3.42
14.3,1.5,8.2,acc,3.2,13.1,1.9,0.539,372,0.433,161,0.29,0.833,33,33,78,1165,5,2.9,2.9,19.7,davon-reed-1,460,Guard,2.3,miami-fl,0.535,0.397,8.1,0.58,13.7,0.474,22.2,208,4.8,0.163,Davon Reed,2016,4,2.71,0.55,4.46,3.71,3.09,0.96,1.79,16.86,1.48,6.83,2.71,5.42,2.3,5.94,2.82
27.3,0.1,10.4,big-ten,2.2,16.2,1.7,0.561,392,0.436,171,0.434,0.876,38,37,73,1323,8.1,1.7,5.5,24.3,derrick-walton-1,629,Guard,2,michigan,0.592,0.422,9.1,0.623,12.3,0.456,23,185,7.1,0.216,Derrick Walton,2016,4,5.71,0.03,4.99,5.14,4.5,0.51,1.97,17.81,1.3,7.01,2.96,5.5,2,4.84,2.21
28.6,4.9,12.4,pac-12,3.4,10.5,1.4,0.578,404,0.507,205,0.45,0.813,34,32,77,1116,9,3.5,4.5,27.3,derrick-white-1,603,Guard,2.2,colorado,0.356,0.396,7,0.627,14.2,0.569,25.3,193,5.9,0.211,Derrick White,2016,1,5.3,1.76,3.73,6.52,5.3,1.25,2.58,22.04,1.51,5.16,2.04,4.98,2.9,9.32,5.3
4.8,3.1,8.6,sec,3.9,18.7,2.1,0.547,299,0.475,142,0.338,0.723,36,35,80,952,4.7,7.3,2.3,20.2,devin-robinson-1,371,Forward,1.9,florida,0.368,0.391,12.9,0.576,10.1,0.524,20,178,4.5,0.188,Devin Robinson,2016,3,0.97,1.22,6.64,4.24,3.07,2.61,3.4,16.81,1.3,4.62,1.81,9.24,1.64,7.94,4.16
23.1,2,9.1,pac-12,2.9,9.7,1.6,0.556,422,0.488,206,0.299,0.754,35,27,77,886,6.2,4.8,3.1,25.5,dillon-brooks-1,525,Forward,2.5,oregon,0.336,0.401,7.4,0.585,13,0.532,31.6,205,4.7,0.213,Dillon Brooks,2016,3,4.29,0.72,3.52,5.69,4.29,1.58,4.38,25.46,1.72,6.41,2.57,5.1,3.25,12.64,6.73
8.5,5.2,7.9,big-ten,2.5,16.5,1.6,0.605,305,0.538,164,0.197,0.833,38,36,81,1155,5.4,6.6,3.2,20.9,dj-wilson-1,405,Forward,1.1,michigan,0.361,0.373,11.6,0.628,11.2,0.631,18.3,220,4.8,0.166,DJ Wilson,2016,3,1.73,1.97,5.06,2.08,1.73,1.97,2.49,14.51,0.69,3.81,1.42,7.03,1.45,6.75,4.26
16,1.7,11.1,acc,5.5,12.9,2.4,0.498,444,0.408,181,0.243,0.806,34,33,75,1098,5.7,3.7,3,21.8,donovan-mitchell-1,502,Guard,3.7,louisville,0.509,0.354,8.3,0.534,10.2,0.463,24.6,210,5.4,0.197,Donovan Mitchell,2016,2,3.39,0.62,4.66,3.93,3.17,1.35,3.21,19.27,2.55,8.23,2.91,6.01,2.04,7.94,3.68
11.6,0.4,5.5,acc,1,12,1.3,0.51,489,0.452,221,0.282,0.754,35,35,79,1008,4.6,4,2.5,20.8,dwayne-bacon-1,544,Guard,1.9,florida-state,0.35,0.333,8.1,0.544,11.4,0.516,29.4,210,3.8,0.151,Dwayne Bacon,2016,2,2.42,0.16,4.44,5.48,4.13,1.39,2.18,23.93,1.39,6.79,2.26,5.83,2.82,12.62,6.51
30.2,2.7,8.8,big-east,3.7,13.7,0.9,0.507,211,0.479,101,0.645,0.735,21,20,77,696,5.1,1.8,1.8,21.1,edmond-sumner-1,325,Guard,2.3,xavier,0.209,0.273,7.6,0.57,17.4,0.533,24,170,2.7,0.154,Edmond Sumner,2016,3,6.03,0.92,4.6,7.82,5.75,0.63,2.93,18.05,1.55,2.53,0.69,5.23,3.33,9.6,5.11
