assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
25.5,477,0.7,22,4.2,,1.2,8.7,272,3.2,0.535,1058,0.45,476,0.37,391,0.795,311,101,65,73,3209,3,1.7,48,6.7,271,17.4,aaron-holiday-1,1443,1499,Guard,2.2,126,ucla,0.404,427,0.422,180,5.4,320,0.58,19.6,304,631,0.469,296,23.3,185,9.8,0.122,Aaron Holiday,Career,3,5.95,0.27,3.39,4.87,3.88,0.6,3.38,17.99,1.57,5.32,2.24,3.99,3.79,7.87,3.69
10,89,9.5,180,3.3,,2.9,20.1,334,3,0.58,522,0.538,281,0.443,231,0.758,175,87,49,81,1652,0.4,7.3,110,4,282,22.7,ajdin-penava-1,781,754,Forward,1.5,48,marshall,0.289,151,0.291,44,14.1,444,0.618,14.6,108,371,0.639,237,21.1,200,7,0.169,Ajdin Penava,Career,3,2.15,4.36,8.09,5.59,4.24,2.66,6.83,18.91,1.16,3.66,1.07,10.75,2.62,8.98,5.74
16.6,157,1.1,20,5.5,,-0.1,29.9,521,3.5,0.511,746,0.457,341,0.41,306,0.716,219,66,66,81,2025,5.6,12.2,214,5.8,152,24.4,alize-johnson-1,982,1011,Forward,1,35,missouri-state,0.334,249,0.325,81,21.1,735,0.551,14.4,150,497,0.523,260,26.4,201,9.3,0.184,Alize Johnson,Career,2,3.1,0.4,10.29,6.04,4.33,4.23,3,19.4,0.69,4.92,1.6,14.52,2.96,9.82,5.14
14.2,185,0.8,19,7.2,,1.4,11.7,257,3,0.566,828,0.479,397,0.539,446,0.827,369,78,67,76,2456,5.8,1.5,28,8.8,141,21.5,allonzo-trier-1,1307,1190,Guard,1,42,arizona,0.46,381,0.378,144,6.9,285,0.628,12.8,153,447,0.566,253,24.6,190,11.8,0.192,Allonzo Trier,Career,3,3.01,0.31,4.19,7.26,6.01,0.46,2.3,21.29,0.68,6.21,2.35,4.64,2.49,7.28,4.12
8.2,122,5.2,155,9,,2.7,22.8,634,5.6,0.549,1154,0.528,609,0.411,474,0.772,366,125,82,77,3132,6.4,10.3,266,11.8,245,29.1,bonzie-colson-1,1632,1542,Forward,2.4,125,notre-dame,0.119,137,0.35,48,16.7,900,0.592,8.4,126,1017,0.552,561,25.3,226,17.4,0.222,Bonzie Colson,Career,4,1.56,1.98,8.1,6.05,4.67,3.4,3.13,20.84,1.6,1.75,0.61,11.49,1.61,12.99,7.16
3.5,17,5.7,60,2.9,,0.3,25.2,238,1.6,0.548,382,0.545,208,0.505,193,0.725,140,33,33,85,949,2.6,12.8,103,2.4,87,25.2,brandon-mccoy-1,559,514,Forward,0.9,15,nevada-las-vegas,0.024,9,0.333,3,19.5,341,0.59,15.5,87,373,0.55,205,27.5,250,4,0.17,Brandon McCoy,Career,1,0.72,2.53,10.03,8.13,5.9,4.34,3.67,23.56,0.63,0.38,0.13,14.37,3.67,15.72,8.64
20.9,182,2.2,33,7.1,,4.1,17.1,248,3.2,0.493,480,0.442,212,0.398,191,0.702,134,52,48,77,1693,3,5.2,73,3.2,126,19,bruce-brown-2,607,652,Guard,2.7,74,miami-fl,0.323,155,0.316,49,11.2,321,0.532,16.2,110,325,0.502,163,21,190,6.3,0.15,Bruce Brown,Career,2,4.3,0.78,5.86,4.51,3.17,1.72,2.98,14.34,1.75,3.66,1.16,7.58,2.6,7.68,3.85
18.7,255,1.1,29,5.1,,2.5,21.1,534,5.8,0.512,1098,0.476,523,0.468,514,0.687,353,123,89,79,2948,2.6,5.6,138,6.5,268,21.2,chandler-hutchison-1,1478,1476,Guard,2.3,120,boise-state,0.204,224,0.353,79,13.5,672,0.551,15,236,874,0.508,444,26.9,190,12.3,0.167,Chandler Hutchison,Career,4,3.46,0.39,7.25,6.97,4.79,1.87,3.64,20.05,1.63,3.04,1.07,9.12,3.2,11.86,6.02
8.4,121,6.2,168,4.5,,2.4,18.6,465,4.3,0.54,928,0.533,495,0.438,406,0.692,281,104,71,83,2809,2.1,7.8,191,6.1,261,21.5,chimezie-metu-1,1284,1214,Forward,1.5,74,southern-california,0.046,43,0.302,13,13.3,656,0.573,13.8,180,885,0.545,482,23.1,215,10.4,0.148,Chimezie Metu,Career,3,1.72,2.39,6.62,5.78,4,2.72,3.72,18.28,1.05,0.61,0.19,9.34,2.56,12.6,6.86
30.5,571,0.2,7,5.7,,4.3,12.6,386,6.5,0.465,879,0.391,344,0.315,277,0.747,207,139,65,73,3494,1.4,1.8,56,5.3,288,15.7,chris-chiozza-1,1025,1208,Guard,3.2,191,florida,0.453,398,0.327,130,7.1,442,0.507,18.1,223,481,0.445,214,17.7,160,11.8,0.135,Chris Chiozza,Career,4,6.54,0.08,4.42,3.17,2.37,0.64,3.3,11.73,2.19,4.56,1.49,5.06,2.55,5.51,2.45
