Player,height,weight,School,yrs_played,minutes_played,points,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,two_point_attempts,two_point_percentage,three_point_attempts,three_point_percentage,free_throw_attempts,free_throw_percentage
"Edwards, Anthony",77,225,Georgia,1,1056,610.1333333,167.2,90.93333333,41.06666667,20.53333333,85.06666667,70.4,258.1333333,0.504,246.4,0.294,170.1333333,0.772
"Wiseman, James",85,240,Memphis,1,69,59.03333333,32.00833333,0.958333333,0.958333333,9.008333333,3.066666667,5.175,24.91666667,0.8,0.958333333,0,27.025,0.704
"Okongwu, Onyeka",81,245,Southern California,1,795.6,422.11,223.21,28.73,30.94,70.72,53.04,70.72,260.78,0.621,2.21,0.25,132.6,0.72
"Toppin, Obi",81,220,Dayton,2,979.6,620.4133333,231.2944444,57.14333333,19.04777778,24.49,68.02777778,48.98,304.7644444,0.698,81.63333333,0.39,138.7766667,0.713
"Okoro, Isaac",78,225,Auburn,1,882,360.15,122.5,56.35,24.5,24.5,56.35,75.95,173.95,0.607,71.05,0.286,134.75,0.672
"Haliburton, Tyrese",77,175,Iowa State,2,761.2,222.0166667,97.26444444,103.6077778,54.97555556,14.80111111,35.94555556,29.60222222,120.5233333,0.592,122.6377778,0.419,44.40333333,0.822
"Achiuwa, Precious",81,225,Memphis,1,942.4,489.5244444,335.0755556,31.41333333,34.03111111,60.20888889,86.38666667,73.29777778,329.84,0.514,39.26666667,0.325,185.8622222,0.599
"Nesmith, Aaron",78,213,Vanderbilt,2,499.8,322.0933333,68.02833333,12.495,19.43666667,12.495,22.21333333,41.65,90.24166667,0.5,115.2316667,0.522,62.475,0.825
"Williams, Patrick",80,225,Florida State,1,652.5,266.4375,116,29,29,29,48.9375,47.125,155.875,0.503,48.9375,0.32,76.125,0.838
"Anthony, Cole",75,190,North Carolina,1,767.8,407.3605556,125.8338889,87.44388889,27.72611111,6.398333333,76.78,63.98333333,204.7466667,0.402,140.7633333,0.346,127.9666667,0.75
"Maxey, Tyrese",75,198,Kentucky,1,1069.5,433.7416667,133.6875,98.0375,26.7375,11.88333333,68.32916667,74.27083333,237.6666667,0.492,112.8916667,0.292,121.8041667,0.833
"Vassell, Devin",77,180,Florida State,2,864,381.6,153.6,48,43.2,31.2,24,57.6,189.6,0.532,105.6,0.415,67.2,0.738
"Bey, Saddiq",80,216,Villanova,2,1050.9,499.1775,145.9583333,72.97916667,23.35333333,11.67666667,35.03,70.06,192.665,0.5,172.2308333,0.451,90.49416667,0.769
"Smith, Jalen",82,225,Maryland,2,970.3,479.7594444,326.1286111,24.2575,21.56222222,75.46777778,53.90555556,75.46777778,226.4033333,0.604,86.24888889,0.368,148.2402778,0.75
"Mannion, Nico",75,190,Arizona,1,1033.6,447.8933333,80.39111111,169.3955556,37.32444444,0,83.26222222,54.55111111,203.8488889,0.444,163.6533333,0.327,134.9422222,0.797
"Green, Josh",78,210,Arizona,1,927,360.5,139.05,77.25,43.775,12.875,48.925,72.1,203.425,0.449,84.975,0.361,108.15,0.78
"McDaniels, Jaden",82,200,Washington,1,964.1,401.7083333,179.4297222,64.27333333,24.1025,42.84888889,99.08805556,101.7661111,208.8883333,0.445,125.8686111,0.339,115.1563889,0.763
"Lewis Jr, Kira",75,165,Alabama,2,1165.6,573.0866667,142.4622222,161.8888889,55.04222222,19.42666667,110.0844444,80.94444444,294.6377778,0.507,152.1755556,0.366,129.5111111,0.802
"Woodard II, Robert",79,230,Mississippi State,2,1026.1,353.4344444,202.3697222,39.90388889,34.20333333,31.35305556,59.85583333,59.85583333,205.22,0.517,71.25694444,0.429,76.9575,0.641
"Steward, Isaiah",81,250,Washington,1,1030.4,543.8222222,280.4977778,25.76,17.17333333,65.83111111,71.55555556,83.00444444,317.7066667,0.59,20.03555556,0.25,197.4933333,0.774
"Bey, Tyler",79,218,Colorado,3,899,427.025,279.6888889,47.44722222,47.44722222,37.45833333,74.91666667,59.93333333,232.2416667,0.545,29.96666667,0.419,182.2972222,0.743
"Ramsey, Jahmi'us",76,195,Texas Tech,1,842.4,404.82,107.64,58.5,35.1,18.72,53.82,58.5,194.22,0.454,140.4,0.426,77.22,0.641
"Winston, Cassius",73,185,Michigan State,4,981,558.625,76.3,177.125,35.425,0,95.375,59.95,242.525,0.459,168.95,0.432,136.25,0.852
"Azubuike, Udoka",84,270,Kansas,4,858.7,424.5794444,324.3977778,28.62333333,14.31166667,81.09944444,76.32888889,73.94361111,240.9130556,0.748,0,0,145.5019444,0.441
"Carey Jr, Vernon",82,270,Duke,1,768.8,550.9733333,273.3511111,32.03333333,21.35555556,49.11777778,61.93111111,83.28666667,324.6044444,0.59,21.35555556,0.381,217.8266667,0.67
"Dotson, Devon",74,185,Kansas,2,1047,543.8583333,122.15,119.2416667,63.98333333,2.908333333,72.70833333,55.25833333,267.5666667,0.541,122.15,0.309,171.5916667,0.83
"Jones, Tre",75,185,Duke,2,1026.6,470.525,122.6216667,185.3583333,51.33,8.555,76.995,51.33,276.6116667,0.447,108.3633333,0.361,139.7316667,0.771
"Nnaji, Zeke",84,240,Arizona,1,982.4,515.76,275.6177778,24.56,21.83111111,30.01777778,70.95111111,76.40888889,297.4488889,0.586,16.37333333,0.294,201.9377778,0.76
"Oturu, Daniel",81,240,Minnesota,2,1050.9,621.7825,350.3,35.03,14.59583333,78.8175,87.575,84.65583333,370.7341667,0.59,52.545,0.365,180.9883333,0.707
"Pritchard, Payton",74,206,Oregon,4,1134.6,636.6366667,132.37,170.19,47.275,0,85.095,63.03333333,252.1333333,0.512,211.1616667,0.415,138.6733333,0.821
"Flynn, Malachi",74,185,San Diego State,4,1068.8,564.0888889,145.4755556,163.2888889,56.40888889,2.968888889,56.40888889,56.40888889,213.76,0.507,204.8533333,0.373,139.5377778,0.857
"Riller, Grant",75,190,Charleston,4,1038.5,677.9097222,158.6597222,121.1583333,49.04027778,8.654166667,95.19583333,72.11805556,325.9736111,0.554,129.8125,0.362,213.4694444,0.827
"Tillman, Xavier",80,245,Michigan State,3,995.1,425.6816667,320.6433333,93.98166667,35.93416667,66.34,60.81166667,80.16083333,251.5391667,0.608,49.755,0.26,124.3875,0.667
