,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played
13,0.0,0.0,18.5,0.0,21.7,0.8,0.0,20.1,0.19,12.5,17.1,-15.9,61,-0.2,A.J. Bramlett,2000,23,1
14,18.0,0.6,6.2,0.274,5.0,0.9,0.054,5.6,0.48,15.1,21.8,-3.9,1443,-0.7,A.J. English,1991,23,1
15,13.7,0.3,6.3,0.208,4.8,0.9,0.04,5.5,0.48,8.8,25.6,-3.8,1665,-0.8,A.J. English,1992,24,2
16,18.1,0.6,5.1,0.094,1.8,0.8,0.359,3.4,0.495,10.7,16.5,-4.0,630,-0.3,A.J. Guyton,2001,22,1
17,23.6,0.9,6.3,0.111,2.3,0.9,0.504,4.2,0.477,12.6,22.2,-1.6,607,0.1,A.J. Guyton,2002,23,2
18,28.7,0.0,0.0,0.0,0.0,5.7,0.25,0.0,0.0,20.0,23.6,-16.4,9,0.0,A.J. Guyton,2003,24,3
19,3.8,7.2,21.0,0.476,5.4,0.3,0.238,12.8,0.472,16.4,17.6,-6.6,163,-0.2,A.J. Hammons,2017,24,1
20,20.5,0.2,9.7,0.212,1.5,2.0,0.492,5.6,0.53,13.2,22.7,-0.5,865,0.3,A.J. Price,2010,23,1
21,22.7,0.1,7.8,0.253,2.3,1.8,0.466,5.0,0.454,13.0,22.7,-2.9,795,-0.2,A.J. Price,2011,24,2
22,23.9,0.3,9.4,0.201,2.6,1.9,0.506,6.0,0.454,14.5,17.7,-1.0,568,0.1,A.J. Price,2012,25,3
23,26.4,0.2,8.2,0.15,1.7,1.3,0.484,4.9,0.501,12.7,18.0,-0.6,1278,0.5,A.J. Price,2013,26,4
24,21.5,0.0,10.2,0.043,1.1,0.5,0.478,5.5,0.469,13.0,23.2,-4.8,99,-0.1,A.J. Price,2014,27,5
25,23.765,0.0,8.991000000000001,0.16872,2.178,1.1460000000000001,0.42028,5.591,0.43616,8.63,22.722,-1.4450000000000007,324,0.0,A.J. Price,2015,28,6
26,24.0,0.0,5.2,0.667,3.1,1.3,0.083,4.2,0.387,20.5,21.1,-5.3,39,0.0,A.J. Wynder,1991,26,1
27,23.5,0.6,7.9,0.218,2.5,1.1,0.484,5.2,0.535,15.1,21.8,-0.2,608,0.3,Aaron Brooks,2008,23,1
28,20.2,0.3,7.0,0.22,2.0,1.2,0.395,4.6,0.521,12.7,22.9,-0.9,1998,0.6,Aaron Brooks,2009,24,2
29,25.6,0.3,6.6,0.224,2.0,1.2,0.394,4.2,0.549,13.7,25.7,0.7,2919,1.9,Aaron Brooks,2010,25,3
30,28.936999999999998,0.2,5.156,0.24026999999999998,1.7590000000000001,1.3370000000000002,0.39926,3.489,0.49016000000000004,13.312999999999999,25.952,-2.9899999999999998,1284,-0.6000000000000001,Aaron Brooks,2011,26,4
31,18.012,0.816,7.896,0.16512,1.464,1.492,0.42375999999999997,4.632,0.55492,16.492,18.064,-2.176,997,0.0,Aaron Brooks,2013,28,5
32,23.284,0.6000000000000001,6.672000000000001,0.16322000000000003,3.152,1.6460000000000001,0.42802,4.908,0.51766,15.786,20.454,-0.9940000000000001,1557,0.8,Aaron Brooks,2014,29,6
33,24.2,0.6,7.5,0.213,1.9,1.5,0.383,4.8,0.534,14.9,25.0,-0.8,1885,0.5,Aaron Brooks,2015,30,7
34,26.0,0.7,7.5,0.136,2.0,1.4,0.394,4.8,0.494,14.2,22.9,-2.6,1108,-0.2,Aaron Brooks,2016,31,8
35,20.7,0.9,6.3,0.133,2.3,1.4,0.427,4.3,0.507,17.2,19.2,-3.7,894,-0.4,Aaron Brooks,2017,32,9
36,15.1,0.0,6.2,0.159,4.2,1.6,0.449,5.2,0.508,13.0,19.9,-3.8,189,-0.1,Aaron Brooks,2018,33,10
37,6.3,2.2,17.8,0.293,6.4,1.3,0.231,12.0,0.517,13.9,15.5,-2.7,797,-0.2,Aaron Gordon,2015,19,1
38,10.3,2.4,21.3,0.333,9.0,1.6,0.245,15.1,0.541,9.0,17.3,1.0,1863,1.4,Aaron Gordon,2016,20,2
39,10.5,1.4,14.1,0.251,5.3,1.4,0.309,9.6,0.53,8.5,20.1,-1.0,2298,0.6,Aaron Gordon,2017,21,3
40,11.7,1.9,21.5,0.26,5.0,1.5,0.395,13.2,0.53,10.0,24.7,0.3,1909,1.1,Aaron Gordon,2018,22,4
41,16.6,1.8,18.4,0.242,5.2,1.1,0.332,11.7,0.538,12.3,21.8,0.6,2633,1.7,Aaron Gordon,2019,23,5
42,11.4,2.0,18.7,0.485,12.5,1.8,0.005,15.5,0.529,18.7,22.0,-3.5,613,-0.2,Aaron Gray,2008,23,1
43,9.6,1.8,21.7,0.353,13.5,1.0,0.006,17.6,0.508,17.2,14.5,-3.4,715,-0.2,Aaron Gray,2009,24,2
44,10.616,2.688,23.092,0.34223999999999993,16.676,1.512,0.0,19.816,0.57392,17.02,16.452,-1.3079999999999998,311,0.0,Aaron Gray,2010,25,3
45,4.7,1.9,25.8,0.343,13.4,1.1,0.0,19.6,0.566,21.9,13.1,-4.0,531,-0.3,Aaron Gray,2011,26,4
46,5.5,1.7,28.3,0.292,12.1,1.5,0.0,20.3,0.526,21.9,13.5,-3.5,813,-0.3,Aaron Gray,2012,27,5
47,9.9,0.8,20.0,0.489,10.9,0.7,0.0,15.4,0.544,24.8,13.1,-4.3,513,-0.3,Aaron Gray,2013,28,6
48,9.094,1.7859999999999998,22.25,0.33142,13.264,1.41,0.01598,17.753999999999998,0.46634,30.401999999999997,12.541999999999998,-4.6979999999999995,355,-0.4,Aaron Gray,2014,29,7
49,3.0,0.0,13.1,0.632,4.7,3.2,0.526,8.8,0.371,14.1,13.7,-6.3,93,-0.1,Aaron Harrison,2016,21,1
50,22.6,0.0,19.5,0.5,0.0,0.0,0.5,9.7,0.102,0.0,12.9,-11.8,17,0.0,Aaron Harrison,2017,22,2
51,6.7,0.8,9.9,0.246,1.8,1.9,0.623,5.7,0.392,3.8,15.5,-7.5,233,-0.3,Aaron Harrison,2018,23,3
52,19.3,1.8,10.4,0.191,0.9,1.6,0.485,5.8,0.518,12.3,21.9,-1.6,646,0.1,Aaron Holiday,2019,22,1
53,4.0,0.0,3.2,0.222,6.5,0.0,0.444,4.8,0.405,9.2,13.7,-8.9,35,-0.1,Aaron Jackson,2018,31,1
54,15.9,1.4,13.5,0.28,4.6,2.2,0.107,8.8,0.5,11.7,17.0,0.3,827,0.5,Aaron McKie,1995,22,1
55,14.6,0.7,10.9,0.276,4.4,2.1,0.162,7.7,0.534,14.3,18.3,0.4,2259,1.4,Aaron McKie,1996,23,2
56,15.436,1.084,13.251999999999999,0.30256,3.04,2.612,0.28903999999999996,8.296000000000001,0.52008,18.076,14.712,0.876,1625,2.2,Aaron McKie,1997,24,3
57,15.046,0.5700000000000001,11.126000000000001,0.1433,3.706,2.996,0.16522,7.4159999999999995,0.4077,15.771999999999998,12.046,-1.484,1813,0.4,Aaron McKie,1998,25,4
58,17.9,0.2,14.0,0.262,3.2,3.6,0.131,8.5,0.454,17.7,15.2,-0.4,959,0.4,Aaron McKie,1999,26,5
59,19.5,0.7,11.4,0.246,2.6,2.9,0.204,7.0,0.497,14.7,17.3,1.2,1952,1.5,Aaron McKie,2000,27,6
60,26.7,0.2,12.9,0.272,1.6,2.3,0.238,7.3,0.549,20.3,18.9,1.4,2394,2.1,Aaron McKie,2001,28,7
61,21.7,0.7,12.7,0.249,2.0,2.1,0.261,7.4,0.54,14.6,19.8,2.7,1471,1.7,Aaron McKie,2002,29,8
62,18.6,0.3,14.5,0.201,3.0,2.9,0.168,8.7,0.497,13.1,15.8,1.1,2374,1.9,Aaron McKie,2003,30,9
63,16.8,0.9,11.5,0.192,2.5,2.2,0.298,7.1,0.55,14.1,16.2,1.3,2112,1.8,Aaron McKie,2004,31,10
64,13.4,1.2,15.5,0.113,2.0,2.2,0.437,8.7,0.51,17.2,7.1,-0.6,1118,0.4,Aaron McKie,2005,32,11
65,12.5,0.0,16.5,0.167,2.9,2.2,0.167,9.7,0.272,13.4,5.6,-2.4,121,0.0,Aaron McKie,2006,33,12
66,14.4,0.0,15.1,0.0,0.9,1.6,0.0,8.0,0.647,32.0,8.6,-4.2,131,-0.1,Aaron McKie,2007,34,13
67,29.5,0.6,13.6,0.222,0.0,1.7,0.0,6.6,0.405,35.8,11.6,-5.0,118,-0.1,Aaron Miles,2006,22,1
68,9.0,0.0,11.3,0.278,6.7,1.0,0.0,9.0,0.594,19.8,21.4,-6.8,51,-0.1,Aaron Swinson,1995,24,1
69,13.0,0.0,19.0,0.125,9.8,0.0,0.0,14.4,0.237,10.6,34.8,-23.9,12,-0.1,Aaron Williams,1994,22,1
70,0.0,6.2,24.1,0.5,8.1,1.4,0.042,15.9,0.41,19.3,22.3,-9.0,72,-0.1,Aaron Williams,1995,23,2
71,4.704,3.938,16.944,0.33614,12.613999999999999,1.568,0.00686,14.78,0.59902,15.097999999999999,16.68,-1.6780000000000002,563,0.2,Aaron Williams,1997,25,3
72,3.0,3.8,15.4,0.386,7.7,1.3,0.005,11.6,0.575,16.3,18.8,-3.3,757,-0.2,Aaron Williams,1998,26,4
73,7.8,3.9,18.9,0.602,13.4,1.6,0.008,16.1,0.508,16.2,18.4,-1.6,458,0.0,Aaron Williams,1999,27,5
74,6.2,4.3,18.9,0.447,11.7,1.4,0.007,15.2,0.572,12.9,17.8,0.3,1545,0.9,Aaron Williams,2000,28,6
75,6.5,3.6,19.2,0.477,10.1,1.3,0.003,14.5,0.533,14.4,17.8,-1.6,2336,0.2,Aaron Williams,2001,29,7
76,8.1,3.5,16.4,0.424,8.3,1.0,0.005,12.3,0.568,13.2,17.4,-0.4,1546,0.6,Aaron Williams,2002,30,8
77,9.0,2.7,13.9,0.296,9.8,0.9,0.002,11.8,0.504,14.6,16.4,-1.6,1597,0.2,Aaron Williams,2003,31,9
78,10.4,2.7,17.0,0.453,8.9,1.4,0.009,13.0,0.549,17.8,17.5,-1.6,1337,0.1,Aaron Williams,2004,32,10
79,4.204,1.972,16.276,0.27848,6.1240000000000006,0.828,0.0,11.100000000000001,0.52244,19.348,12.884,-6.6320000000000014,315,-0.6,Aaron Williams,2005,33,11
80,3.5879999999999996,2.139,18.119999999999997,0.32905,9.379999999999999,1.143,0.0,13.65,0.5519000000000001,13.058,13.618,-3.651,791,-0.6000000000000001,Aaron Williams,2006,34,12
81,2.9,2.9,18.4,0.415,8.7,1.0,0.019,13.6,0.606,22.3,10.0,-2.7,374,-0.1,Aaron Williams,2007,35,13
82,4.9,3.8,18.0,0.327,5.8,2.1,0.0,11.9,0.54,17.1,11.8,-2.5,297,0.0,Aaron Williams,2008,36,14
83,7.1,1.6,12.0,0.262,2.8,1.4,0.436,7.4,0.439,17.0,17.1,-5.3,522,-0.4,Abdel Nader,2018,24,1
84,3.8,1.5,15.7,0.167,2.0,1.3,0.465,8.6,0.522,10.1,15.1,-3.2,694,-0.2,Abdel Nader,2019,25,2
85,1.5,2.9,16.0,0.43,8.3,1.0,0.003,12.1,0.463,14.0,19.4,-6.5,1149,-1.3,Acie Earl,1994,23,1
86,1.4,2.6,14.6,0.426,10.4,1.5,0.0,12.5,0.409,14.8,19.7,-8.9,208,-0.4,Acie Earl,1995,24,2
87,6.9,4.3,14.3,0.413,9.2,1.4,0.011,11.7,0.484,13.1,25.2,-5.1,655,-0.5,Acie Earl,1996,25,3
88,6.653,4.43,14.762,0.46067,7.975,1.607,0.02912,11.332,0.43235,14.135000000000002,22.680000000000003,-4.446,500,-0.6,Acie Earl,1997,26,4
89,20.4,0.0,6.0,0.203,1.6,1.8,0.143,3.8,0.455,17.8,16.5,-5.2,865,-0.7,Acie Law,2008,23,1
90,23.4,0.4,10.9,0.432,1.3,1.1,0.209,6.1,0.49,14.9,16.3,-2.9,560,-0.1,Acie Law,2009,24,2
91,17.576,0.35000000000000003,6.618,0.7092,1.45,2.298,0.22360000000000002,4.092,0.60562,14.459999999999999,21.752000000000002,-1.014,234,0.0,Acie Law,2010,25,3
92,16.342,0.0,8.212,0.34939,1.8860000000000001,2.2,0.19768,4.9990000000000006,0.49612,16.676,15.652,-3.9800000000000004,726,-0.8,Acie Law,2011,26,4
93,17.984,0.66,7.541,0.10594,1.0050000000000001,0.9309999999999999,0.42658000000000007,4.139,0.40649,3.333,16.427,-5.204000000000001,111,-0.2,Adam Harrington,2003,22,1
94,7.0,0.7,19.5,0.63,11.8,1.8,0.003,15.5,0.564,17.2,15.5,-2.2,1549,-0.1,Adam Keefe,1993,22,1
95,6.4,0.8,17.9,0.521,11.1,1.3,0.0,14.5,0.521,18.6,18.1,-3.5,763,-0.3,Adam Keefe,1994,23,2
96,3.5,1.6,18.0,0.581,14.0,1.5,0.0,16.1,0.616,14.2,15.6,-0.4,1270,0.5,Adam Keefe,1995,24,3
97,5.5,2.0,19.5,0.581,13.0,1.6,0.012,16.3,0.574,16.8,14.0,-0.6,1708,0.6,Adam Keefe,1996,25,4
98,5.0,1.2,18.2,0.644,10.9,1.7,0.006,14.7,0.572,18.0,12.7,-1.0,915,0.2,Adam Keefe,1997,26,5
99,6.7,0.9,14.8,0.472,11.6,1.4,0.0,13.3,0.605,12.2,13.2,0.6,2047,1.3,Adam Keefe,1998,27,6
100,7.2,1.4,16.1,0.718,10.5,1.4,0.032,13.5,0.533,16.8,14.6,-0.8,642,0.2,Adam Keefe,1999,28,7
101,8.5,1.7,18.0,0.277,9.3,1.5,0.008,13.7,0.463,24.0,14.7,-4.0,604,-0.3,Adam Keefe,2000,29,8
102,6.5,1.7,16.4,0.396,10.5,1.7,0.019,13.3,0.45,17.6,11.5,-4.3,836,-0.5,Adam Keefe,2001,30,9
103,11.9,0.2,9.2,0.179,2.7,0.6,0.273,5.9,0.45,11.3,22.4,-5.1,2326,-1.8,Adam Morrison,2007,22,1
104,9.388,0.47,10.594000000000001,0.10402,3.1319999999999997,0.6579999999999999,0.42982,6.916,0.44816,12.038,17.498,-4.781999999999999,711,-1.0,Adam Morrison,2009,24,2
105,11.3,0.6,10.1,0.094,4.7,0.6,0.247,7.4,0.418,10.2,18.3,-4.7,241,-0.2,Adam Morrison,2010,25,3
106,3.5,5.4,18.6,0.365,11.5,1.0,0.006,15.0,0.418,20.2,16.4,-5.3,656,-0.6,Adonal Foyle,1998,22,1
107,4.7,5.2,20.5,0.421,13.5,1.3,0.0,16.9,0.45,17.8,12.6,-1.3,614,0.1,Adonal Foyle,1999,23,2
108,4.0,5.8,16.9,0.237,10.4,0.8,0.0,13.5,0.5,14.5,12.5,-2.9,1654,-0.4,Adonal Foyle,2000,24,3
109,5.2,7.6,19.7,0.181,10.5,1.1,0.0,14.7,0.422,16.3,14.0,-2.8,1457,-0.3,Adonal Foyle,2001,25,4
110,4.3,7.7,17.3,0.242,10.6,1.2,0.0,13.9,0.445,15.1,14.2,-2.1,1485,0.0,Adonal Foyle,2002,26,5
111,3.1,7.6,18.5,0.301,10.6,1.1,0.003,14.6,0.563,15.7,11.0,0.9,1787,1.3,Adonal Foyle,2003,27,6
112,4.8,5.8,22.3,0.269,10.6,0.6,0.0,16.4,0.471,12.6,13.4,-1.1,572,0.1,Adonal Foyle,2004,28,7
113,4.9,6.7,17.7,0.232,10.1,0.8,0.0,13.7,0.514,14.5,10.4,-1.2,1700,0.3,Adonal Foyle,2005,29,8
114,2.8,5.1,17.6,0.223,8.5,1.2,0.0,13.0,0.524,19.5,10.0,-1.7,1824,0.1,Adonal Foyle,2006,30,9
115,5.5,8.0,17.7,0.294,11.5,1.1,0.0,14.6,0.557,19.3,10.7,-0.7,475,0.2,Adonal Foyle,2007,31,10
116,3.4,4.2,19.6,0.222,11.0,1.1,0.0,15.5,0.464,16.0,11.8,-1.9,774,0.0,Adonal Foyle,2008,32,11
117,2.565,9.214999999999998,30.115,0.51775,16.814999999999998,0.0,0.0,23.56,0.59185,17.099999999999998,12.35,3.965,62,0.2,Adonal Foyle,2009,33,12
118,33.3,0.8,4.1,0.0,4.4,0.0,0.435,4.2,0.326,20.7,15.6,-5.3,79,-0.1,Adonis Jordan,1994,23,1
119,27.0,0.0,0.0,1.0,0.0,9.2,0.5,0.0,0.521,25.8,20.6,7.3,18,0.0,Adonis Jordan,1999,28,2
120,13.445,0.0,9.23,0.07215,0.0,0.0,0.35645000000000004,4.615,0.48614999999999997,5.845,18.46,-6.225,37,0.0,Adonis Thomas,2014,20,1
121,6.401999999999999,0.97,18.179,0.20937,7.17,1.3419999999999999,0.04115,12.485,0.44407,15.423,16.962999999999997,-6.914,739,-1.8,Adreian Payne,2015,23,1
122,8.9,1.8,21.5,0.179,4.8,1.7,0.221,13.3,0.422,18.7,17.7,-6.2,486,-0.5,Adreian Payne,2016,24,2
123,8.0,4.4,21.0,0.352,7.7,3.0,0.278,14.3,0.505,11.4,23.1,-2.3,135,0.0,Adreian Payne,2017,25,3
124,0.0,0.0,18.0,0.6,5.1,2.3,0.3,11.5,0.831,13.7,15.0,2.4,43,0.0,Adreian Payne,2018,26,4
127,2.8,3.2,22.9,0.368,11.7,1.6,0.0,17.4,0.549,26.6,14.8,-4.0,331,-0.2,Adrian Caldwell,1990,23,1
128,3.1,1.7,17.6,0.205,13.4,2.7,0.012,15.5,0.426,24.9,14.4,-3.1,343,-0.1,Adrian Caldwell,1991,24,2
129,0.0,0.0,32.8,1.5,4.0,1.7,0.0,19.1,0.377,13.1,11.4,-7.2,30,0.0,Adrian Caldwell,1995,28,3
130,3.0,1.2,25.2,0.434,16.6,1.5,0.0,21.0,0.556,26.2,18.8,-5.8,327,-0.3,Adrian Caldwell,1996,29,4
131,3.0519999999999996,1.0399999999999998,21.58,0.54552,10.704,1.424,0.02052,15.952000000000002,0.44467999999999996,19.632,10.568,-6.896,569,-1.4,Adrian Caldwell,1997,30,5
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6,3,0.0,Adrian Caldwell,1998,31,6
136,13.4,0.6,15.2,0.383,7.2,3.1,0.138,11.0,0.503,16.2,13.0,0.6,1927,1.3,Adrian Griffin,2000,25,1
137,11.7,1.0,19.4,0.247,8.0,2.5,0.268,13.5,0.432,14.3,15.1,-2.4,377,0.0,Adrian Griffin,2001,26,2
138,11.3,0.6,12.7,0.136,5.6,2.8,0.15,9.2,0.545,9.9,13.8,1.3,1383,1.1,Adrian Griffin,2002,27,3
139,11.0,0.3,14.1,0.095,7.1,2.9,0.071,10.6,0.463,11.8,13.2,-0.3,1373,0.6,Adrian Griffin,2003,28,4
140,11.6,1.2,15.2,0.222,0.9,2.9,0.111,8.4,0.278,13.2,8.2,-1.9,133,0.0,Adrian Griffin,2004,29,5
141,12.6,0.4,15.7,0.273,8.8,3.3,0.056,12.2,0.419,14.3,14.1,0.6,667,0.4,Adrian Griffin,2005,30,6
142,10.8,0.6,14.4,0.26,7.4,2.2,0.01,11.0,0.521,14.6,10.0,0.8,1245,0.9,Adrian Griffin,2006,31,7
143,15.2,0.5,13.4,0.147,7.9,2.8,0.047,10.6,0.499,21.7,13.3,-0.3,585,0.3,Adrian Griffin,2007,32,8
144,13.312,0.512,11.488,0.11924,9.944,2.8280000000000003,0.0,10.716000000000001,0.40708000000000005,20.956,14.484,-3.016,307,-0.2,Adrian Griffin,2008,33,9
145,5.2,0.9,13.8,0.268,15.1,1.4,0.089,14.5,0.359,14.9,22.0,-9.0,160,-0.3,Al Harrington,1999,18,1
146,7.1,0.7,14.2,0.42,6.4,1.5,0.129,10.4,0.524,17.2,20.1,-3.4,854,-0.3,Al Harrington,2000,19,2
147,11.8,0.7,15.2,0.289,7.4,1.8,0.013,11.4,0.479,19.5,18.8,-3.4,1892,-0.7,Al Harrington,2001,20,3
148,7.3,1.1,15.1,0.298,8.5,1.6,0.006,11.9,0.526,12.5,21.6,-1.9,1313,0.0,Al Harrington,2002,21,4
149,8.8,1.0,15.7,0.306,7.4,1.5,0.051,11.6,0.493,13.8,21.6,-2.8,2467,-0.5,Al Harrington,2003,22,5
150,10.3,0.7,16.9,0.277,7.8,1.8,0.085,12.3,0.514,13.8,22.9,-0.7,2441,0.8,Al Harrington,2004,23,6
151,14.5,0.5,15.2,0.356,6.3,1.8,0.075,10.5,0.508,15.2,23.6,-2.2,2550,-0.1,Al Harrington,2005,24,7
152,15.8,0.4,17.4,0.287,5.5,1.6,0.157,11.3,0.513,12.4,25.6,-1.3,2782,0.5,Al Harrington,2006,25,8
153,9.814,0.706,15.418,0.2229,6.541,1.259,0.26955999999999997,10.853,0.54012,12.48,23.1,-0.911,2563,1.4,Al Harrington,2007,26,9
154,8.9,0.5,16.9,0.206,5.0,1.6,0.442,10.7,0.547,8.2,21.1,0.2,2190,1.2,Al Harrington,2008,27,10
