name,all_star,role_player,scrub,starter,total
Aaron Holiday,0.01,0.29,0.04,0.67,0.68
Josh Okogie,0.08,0.29,0.07,0.56,0.64
Lonnie Walker,0.01,0.31,0.09,0.6,0.61
Ajdin Penava,0.17,0.28,0.13,0.42,0.59
Melvin Frazier,0.01,0.35,0.06,0.58,0.59
Jacob Evans,0.01,0.35,0.09,0.55,0.56
Bonzie Colson,0.21,0.27,0.17,0.35,0.56
DJ Hogg,0.01,0.37,0.09,0.53,0.54
Jalen Brunson,0.01,0.38,0.08,0.53,0.54
Kevin Hervey,0.01,0.38,0.09,0.52,0.53
Justin Jackson,0.01,0.42,0.06,0.51,0.52
Rawle Alkins,0.01,0.41,0.08,0.5,0.51
Kenrich Williams,0.01,0.44,0.06,0.49,0.5
Miles Bridges,0.01,0.39,0.12,0.48,0.49
Kevin Knox,0.01,0.38,0.15,0.47,0.48
Jaylen Barford,0.01,0.41,0.12,0.47,0.48
Vince Edwards,0.01,0.45,0.08,0.46,0.47
Alize Johnson,0.01,0.41,0.13,0.45,0.46
Tony Carr,0.02,0.44,0.11,0.43,0.45
Landry Shamet,0.01,0.44,0.11,0.44,0.45
Bruce Brown,0.01,0.43,0.13,0.44,0.45
Joel Berry,0.01,0.46,0.09,0.44,0.45
Trae Young,0.03,0.42,0.14,0.41,0.44
Chandler Hutchison,0.02,0.46,0.11,0.41,0.43
Troy Brown,0.01,0.49,0.08,0.42,0.43
Jock Landale,0.03,0.47,0.11,0.39,0.42
Jared Terrell,0.01,0.49,0.1,0.41,0.42
JP Macura,0.01,0.53,0.05,0.41,0.42
Gary Clark,0.02,0.47,0.12,0.39,0.41
Keita Bates-Diop,0.01,0.49,0.1,0.4,0.41
Jerome Robinson,0.01,0.49,0.1,0.4,0.41
Deandre Ayton,0.13,0.48,0.12,0.27,0.4
Jevon Carter,0.01,0.51,0.09,0.39,0.4
Mikal Bridges,0.01,0.53,0.07,0.38,0.39
Yante Maten,0.01,0.42,0.2,0.37,0.38
Omari Spellman,0.01,0.5,0.12,0.37,0.38
Moritz Wagner,0.01,0.5,0.12,0.36,0.37
Mohamed Bamba,0.11,0.41,0.23,0.25,0.36
Khyri Thomas,0.03,0.5,0.13,0.33,0.36
Deng Adel,0.01,0.47,0.16,0.35,0.36
Hamidou Diallo,0.01,0.43,0.21,0.35,0.36
Donte DiVincenzo,0.01,0.58,0.09,0.32,0.33
Zhaire Smith,0.03,0.53,0.14,0.3,0.33
Kevin Huerter,0.02,0.5,0.18,0.3,0.32
Brandon McCoy,0.02,0.46,0.22,0.3,0.32
Keenan Evans,0.02,0.5,0.18,0.3,0.32
Malik Pope,0.01,0.48,0.2,0.31,0.32
Dikembe Dixson,0.01,0.45,0.23,0.31,0.32
Trevon Duval,0.02,0.56,0.14,0.29,0.31
Trevon Bluiett,0.01,0.5,0.19,0.3,0.31
Shai Gilgeous-Alexander,0.04,0.52,0.18,0.26,0.3
Kelan Martin,0.01,0.4,0.31,0.28,0.29
Collin Sexton,0.02,0.59,0.13,0.26,0.28
Marcus Foster,0.01,0.55,0.17,0.27,0.28
Malik Newman,0.01,0.45,0.27,0.27,0.28
George King,0.01,0.52,0.21,0.27,0.28
Jaylen Adams,0.01,0.66,0.06,0.27,0.28
Raymond Spalding,0.02,0.5,0.24,0.25,0.27
Wenyen Gabriel,0.01,0.61,0.13,0.25,0.26
Sviatoslav Mykhailiuk,0.01,0.56,0.18,0.25,0.26
Tyler Davis,0.04,0.48,0.27,0.21,0.25
Donte Grantham,0.01,0.59,0.16,0.24,0.25
Jarred Vanderbilt,0.01,0.41,0.36,0.21,0.22
Robert Williams,0.05,0.38,0.41,0.16,0.21
Chris Chiozza,0.01,0.5,0.29,0.2,0.21
Kendall Stephens,0.01,0.54,0.26,0.2,0.21
Thomas Wilder,0.01,0.62,0.18,0.19,0.2
Tra Holder,0.01,0.69,0.11,0.19,0.2
Gary Clark,0.01,0.65,0.15,0.19,0.2
Allonzo Trier,0.02,0.64,0.16,0.18,0.2
Muhammad-Ali Abdur-Rahkman,0.01,0.5,0.31,0.18,0.19
Kyle Washington,0.01,0.41,0.41,0.17,0.18
Robert Williams,0.01,0.43,0.4,0.17,0.18
Devon Hall,0.01,0.41,0.41,0.17,0.18
Grayson Allen,0.01,0.3,0.54,0.16,0.17
Kendrick Nunn,0.01,0.37,0.46,0.16,0.17
Johnathan Williams,0.01,0.38,0.45,0.16,0.17
Kostas Antetokounmpo,0.02,0.48,0.37,0.14,0.16
Theo Pinson,0.01,0.53,0.31,0.15,0.16
Devonte Graham,0.01,0.47,0.37,0.15,0.16
Chimezie Metu,0,0.34,0.54,0.11,0.11
