name,all_star,role_player,scrub,starter
Zion Williamson,0.91,0.03,0.01,0.05
Brandon Clarke,0.9,0.03,0.02,0.05
Grant Williams,0.48,0.16,0.08,0.29
Temetrius Morant,0.26,0.29,0.08,0.37
Chris Clemons,0.2,0.35,0.16,0.28
Dedric Lawson,0.09,0.3,0.24,0.37
Bol Bol,0.09,0.47,0.11,0.33
Bruno Fernando,0.05,0.38,0.4,0.17
Matt Morgan,0.03,0.45,0.19,0.33
Romeo Langford,0.03,0.43,0.17,0.37
RJ Barrett,0.02,0.5,0.1,0.39
Darius Garland,0.02,0.37,0.15,0.45
Luguentz Dort,0.02,0.46,0.32,0.2
Jarrell Brantley,0.02,0.38,0.08,0.52
Dylan Windler,0.02,0.43,0.11,0.44
Jarrett Culver,0.02,0.26,0.05,0.66
DeAndre Hunter,0.02,0.42,0.27,0.3
Nicolas Claxton,0.02,0.55,0.23,0.21
Rui Hachimura,0.02,0.67,0.09,0.23
Jaylen Nowell,0.02,0.5,0.08,0.4
Miye Oni,0.01,0.35,0.08,0.57
Matt Morgan,0.01,0.54,0.3,0.15
Marques Bolden,0.01,0.42,0.39,0.18
Nassir Little,0.01,0.33,0.06,0.6
Mfiondu Kabengele,0.01,0.55,0.13,0.31
Nickeil Alexander-Walker,0.01,0.23,0.03,0.73
Marial Shayok,0.01,0.5,0.13,0.36
Naz Reid,0.01,0.43,0.12,0.44
Matisse Thybulle,0.01,0.49,0.26,0.24
Admiral Schofield,0.01,0.39,0.1,0.5
Oshae Brissett,0.01,0.4,0.09,0.5
PJ Washington,0.01,0.36,0.09,0.54
Quinndary Weatherspoon,0.01,0.57,0.16,0.26
Lindell Wigginton,0.01,0.48,0.13,0.38
Robert Franks,0.01,0.45,0.22,0.32
Shamorie Ponds,0.01,0.37,0.05,0.57
Talen Horton-Tucker,0.01,0.5,0.19,0.3
Terance Mann,0.01,0.53,0.13,0.34
Terence Davis,0.01,0.52,0.06,0.41
Ty Jerome,0.01,0.54,0.16,0.29
Tyler Cook,0.01,0.44,0.36,0.19
Tyler Herro,0.01,0.42,0.07,0.51
Tyus Battle,0.01,0.28,0.05,0.67
Louis King,0.01,0.4,0.15,0.45
Jordan Bone,0.01,0.49,0.08,0.41
Kyle Guy,0.01,0.29,0.58,0.12
Ky Bowman,0.01,0.3,0.06,0.63
Aubrey Dawkins,0.01,0.44,0.08,0.47
Barry Brown,0.01,0.32,0.58,0.1
Bennie Boatwright,0.01,0.45,0.27,0.27
Caleb Martin,0.01,0.32,0.06,0.6
Cameron Johnson,0.01,0.54,0.3,0.15
Cameron Johnson,0.01,0.45,0.05,0.49
Carsen Edwards,0.01,0.51,0.24,0.24
Charles Matthews,0.01,0.43,0.12,0.44
Chuma Okeke,0.01,0.55,0.07,0.37
CJ Massinburg,0.01,0.45,0.12,0.42
Coby White,0.01,0.33,0.07,0.59
Cody Martin,0.01,0.59,0.1,0.29
DaQuan Jeffries,0.01,0.5,0.23,0.27
Zylan Cheatham,0.01,0.4,0.33,0.26
Eric Paschall,0.01,0.4,0.34,0.24
Ignas Brazdeikis,0.01,0.39,0.09,0.51
Isaiah Roby,0.01,0.4,0.36,0.24
Jalen McDaniels,0.01,0.53,0.12,0.34
James Palmer,0.01,0.45,0.29,0.25
Jaylen Hands,0.01,0.4,0.11,0.47
Jaylen Hoard,0.01,0.52,0.16,0.31
Jontay Porter,0.01,0.46,0.13,0.4
Aric Holman,0.01,0.58,0.24,0.17
Jordan Poole,0.01,0.39,0.08,0.52
Justin Wright-Foreman,0.01,0.57,0.25,0.17
Keldon Johnson,0.01,0.36,0.15,0.48
Kenny Wooten,0.01,0.56,0.32,0.1
Jarrey Foster,0.0,0.43,0.4,0.16
Charlie Brown,0.0,0.21,0.02,0.76
Donta Hall,0.0,0.22,0.73,0.05
