Player,all_star,role_player,scrub,starter,
"Okongwu, Onyeka",0.6,0.14,0.08,0.18,0.78
"Hughes, Elijah",0.01,0.3,0.03,0.66,0.67
"Stevens, Lamar",0.01,0.28,0.07,0.63,0.64
"Marshall, Naji",0.01,0.31,0.05,0.63,0.64
"Lewis Jr, Kira",0.01,0.34,0.05,0.6,0.61
"Edwards, Anthony",0.05,0.27,0.12,0.55,0.6
"Jones, Tyrique",0.02,0.31,0.09,0.58,0.6
"Diane, Lamine",0.08,0.35,0.06,0.51,0.59
"Bey, Tyler",0.07,0.31,0.12,0.51,0.58
"Childs, Yoeli",0.04,0.33,0.1,0.53,0.57
"Bane, Desmond",0.01,0.38,0.05,0.56,0.57
"Achiuwa, Precious",0.03,0.35,0.1,0.52,0.55
"Perry, Reggie",0.02,0.35,0.12,0.51,0.53
"Mannion, Nico",0.01,0.41,0.07,0.52,0.53
"Elleby, CJ",0.01,0.37,0.11,0.51,0.52
"Jones, Mason",0.05,0.39,0.09,0.47,0.52
"Lamb, Anthony",0.01,0.39,0.08,0.51,0.52
"Maxey, Tyrese",0.01,0.43,0.08,0.48,0.49
"Tinkle, Tres",0.01,0.44,0.08,0.48,0.49
"Queen, Trevelin",0.01,0.44,0.07,0.48,0.49
"Green, Josh",0.01,0.39,0.14,0.46,0.47
"Hinton, Nate",0.01,0.42,0.13,0.44,0.45
"Anthony, Cole",0.04,0.43,0.13,0.4,0.44
"Wiseman, James",0.06,0.48,0.09,0.38,0.44
"Vassell, Devin",0.01,0.49,0.07,0.43,0.44
"Hammonds, Rayshaun",0.01,0.41,0.16,0.42,0.43
"Quickley, Immanuel",0.02,0.43,0.15,0.41,0.43
"Winston, Cassius",0.01,0.45,0.13,0.42,0.43
"Nwora, Jordan",0.01,0.45,0.13,0.41,0.42
"Azubuike, Udoka",0.01,0.49,0.09,0.4,0.41
"Tillman, Xavier",0.03,0.44,0.16,0.37,0.4
"Jones, Tre",0.02,0.47,0.12,0.38,0.4
"Mays, Skylar",0.01,0.54,0.07,0.39,0.4
"Dotson, Devon",0.02,0.52,0.09,0.37,0.39
"Bey, Saddiq",0.01,0.48,0.14,0.37,0.38
"Lee, Saben",0.01,0.5,0.12,0.37,0.38
"Fitts, Malik",0.01,0.55,0.07,0.36,0.37
"Doolittle, Kristian",0.02,0.52,0.12,0.34,0.36
"McDaniels, Jaden",0.01,0.49,0.15,0.35,0.36
"Petrusev, Filip",0.03,0.53,0.11,0.33,0.36
"Flynn, Malachi",0.01,0.53,0.12,0.34,0.35
"Haliburton, Tyrese",0.01,0.54,0.12,0.33,0.34
"Carey Jr, Vernon",0.08,0.56,0.1,0.26,0.34
"Nesmith, Aaron",0.01,0.37,0.29,0.32,0.33
"Tillie, Killian",0.01,0.56,0.1,0.32,0.33
"Williams, Patrick",0.01,0.58,0.09,0.32,0.33
"Okoro, Isaac",0.03,0.53,0.15,0.3,0.33
"Nnaji, Zeke",0.05,0.37,0.31,0.27,0.32
"Wesson, Kaleb",0.02,0.42,0.26,0.3,0.32
"Ford, Jordan",0.01,0.45,0.23,0.31,0.32
"Woodard II, Robert",0.01,0.58,0.1,0.31,0.32
"Oturu, Daniel",0.03,0.49,0.2,0.28,0.31
"Hagans, Ashton",0.01,0.42,0.27,0.3,0.31
"Smith, Jalen",0.02,0.49,0.2,0.28,0.3
"Reed, Paul",0.03,0.54,0.16,0.27,0.3
"Joe, Isaiah",0.01,0.53,0.17,0.29,0.3
"Knight, Nathan",0.05,0.55,0.15,0.25,0.3
"Toppin, Obi",0.03,0.58,0.14,0.25,0.28
"Terry, Tyrell",0.01,0.47,0.26,0.26,0.27
"Stanley, Cassius",0.01,0.48,0.26,0.26,0.27
"Whitney, Kahlil",0.01,0.52,0.21,0.26,0.27
"Pritchard, Payton",0.01,0.55,0.18,0.26,0.27
"Ramsey, Jahmi'us",0.01,0.4,0.34,0.25,0.26
"Yurtseven, Omer",0.01,0.49,0.25,0.25,0.26
"Riller, Grant",0.06,0.48,0.27,0.19,0.25
"Harris, Jalen",0.01,0.43,0.33,0.23,0.24
"Teske, Jon",0.01,0.49,0.27,0.23,0.24
"Alexander, Ty-Shon",0.01,0.51,0.25,0.23,0.24
"Jessup, Justinian",0.01,0.56,0.2,0.23,0.24
"Steward, Isaiah",0.05,0.32,0.45,0.18,0.23
"Gillespie, Freddie",0.01,0.53,0.25,0.21,0.22
"Richards, Nick",0.01,0.44,0.34,0.2,0.21
"Merrill, Sam",0.01,0.49,0.3,0.2,0.21
"Forrest, Trent",0.01,0.59,0.2,0.19,0.2
"Howard, Markus",0.01,0.42,0.39,0.18,0.19
"Darling, Nate",0.01,0.48,0.35,0.16,0.17
"Powell, Myles",0.01,0.36,0.51,0.13,0.14
"Diakite, Mamadi",0,0.33,0.55,0.11,0.11
