name,comp,score,rank
Aaron Nesmith,Terrence Ross washington,0.85,1
Aaron Nesmith,Gary Harris michigan-state,0.74,2
Aaron Nesmith,Kentavious Caldwell-Pope georgia,0.74,3
Aaron Nesmith,Paul George fresno-state,0.72,4
Aaron Nesmith,Rodney Hood duke,0.72,5
Anthony Edwards,Jamal Murray kentucky,0.79,1
Anthony Edwards,Eric Gordon indiana,0.74,2
Anthony Edwards,Dajuan Wagner memphis,0.69,3
Anthony Edwards,Stephon Marbury georgia-tech,0.64,4
Anthony Edwards,Jerryd Bayless arizona,0.63,5
Anthony Lamb,Doug McDermott creighton,0.74,1
Anthony Lamb,Brian Cook illinois,0.7,2
Anthony Lamb,Vin Baker hartford,0.7,3
Anthony Lamb,Andrew Nicholson st-bonaventure,0.69,4
Anthony Lamb,Austin Croshere providence,0.68,5
Ashton Hagans,Randy Livingston louisiana-state,0.94,1
Ashton Hagans,Anthony Goldwire houston,0.93,2
Ashton Hagans,Michael Carter-Williams syracuse,0.93,3
Ashton Hagans,Kendall Marshall north-carolina,0.92,4
Ashton Hagans,Jordan Farmar ucla,0.9,5
CJ Elleby,Jordan Hamilton texas,0.75,1
CJ Elleby,Paul George fresno-state,0.7,2
CJ Elleby,Tyrone Nesby nevada-las-vegas,0.68,3
CJ Elleby,Terry Rozier louisville,0.65,4
CJ Elleby,Von Wafer florida-state,0.64,5
Cassius Stanley,DerMarr Johnson cincinnati,0.72,1
Cassius Stanley,Malik Beasley florida-state,0.72,2
Cassius Stanley,Devin Booker kentucky,0.7,3
Cassius Stanley,James Young kentucky,0.66,4
Cassius Stanley,Kosta Koufos ohio-state,0.64,5
Cassius Winston,Damon Stoudamire arizona,0.97,1
Cassius Winston,Eric Maynor virginia-commonwealth,0.96,2
Cassius Winston,Bobby Hurley duke,0.94,3
Cassius Winston,Mateen Cleaves michigan-state,0.94,4
Cassius Winston,Travis Best georgia-tech,0.94,5
Cole Anthony,Brandon Knight kentucky,0.78,1
Cole Anthony,Dajuan Wagner memphis,0.74,2
Cole Anthony,Jerryd Bayless arizona,0.68,3
Cole Anthony,Tyler Ennis syracuse,0.63,4
Cole Anthony,Jamal Crawford michigan,0.61,5
Daniel Oturu,Charlie Villanueva connecticut,0.94,1
Daniel Oturu,Rasheed Wallace north-carolina,0.9,2
Daniel Oturu,Pascal Siakam new-mexico-state,0.86,3
Daniel Oturu,Bobby Portis arkansas,0.85,4
Daniel Oturu,Samaki Walker louisville,0.84,5
Desmond Bane,Rusty LaRue wake-forest,0.89,1
Desmond Bane,Pat Connaughton notre-dame,0.88,2
Desmond Bane,Darius Miller kentucky,0.87,3
Desmond Bane,Matt Carroll notre-dame,0.87,4
Desmond Bane,Ian Clark belmont,0.86,5
Devin Vassell,Sonny Weems arkansas,0.78,1
Devin Vassell,Kentavious Caldwell-Pope georgia,0.75,2
Devin Vassell,Gary Harris michigan-state,0.74,3
Devin Vassell,Terrence Ross washington,0.74,4
Devin Vassell,Von Wafer florida-state,0.74,5
Devon Dotson,Anthony Goldwire houston,0.85,1
Devon Dotson,Jason Williams florida,0.85,2
Devon Dotson,Mo Williams alabama,0.84,3
Devon Dotson,Shane Larkin miami-fl,0.81,4
Devon Dotson,Chris Paul wake-forest,0.8,5
Elijah Hughes,Tony Snell new-mexico,0.87,1
Elijah Hughes,Allen Crabbe california,0.86,2
Elijah Hughes,John Jenkins vanderbilt,0.86,3
Elijah Hughes,Troy Hudson southern-illinois,0.85,4
Elijah Hughes,Arron Afflalo ucla,0.84,5
Filip Petrusev,Vitaly Potapenko wright-state,0.92,1
Filip Petrusev,Blake Griffin oklahoma,0.88,2
Filip Petrusev,Jared Sullinger ohio-state,0.88,3
Filip Petrusev,Derrick Williams arizona,0.86,4
Filip Petrusev,Leon Powe california,0.82,5
Grant Riller,Hubert Davis north-carolina,0.74,1
Grant Riller,Eric Piatkowski nebraska,0.7,2
Grant Riller,Calbert Cheaney indiana,0.68,3
Grant Riller,Tony Dumas missouri-kansas-city,0.67,4
Grant Riller,Fred Hoiberg iowa-state,0.66,5
Immanuel Quickley,Nik Stauskas michigan,0.79,1
Immanuel Quickley,Patrick Beverley arkansas,0.75,2
Immanuel Quickley,Rodney Hood duke,0.75,3
Immanuel Quickley,Gary Harris michigan-state,0.69,4
Immanuel Quickley,Daniel Gibson texas,0.66,5
Isaac Okoro,Jonathon Simmons houston,0.65,1
Isaac Okoro,DeMar DeRozan southern-california,0.6,2
Isaac Okoro,DerMarr Johnson cincinnati,0.58,3
Isaac Okoro,Derrick Favors georgia-tech,0.46,4
Isaac Okoro,Michael Kidd-Gilchrist kentucky,0.43,5
Isaiah Joe,Gary Harris michigan-state,0.92,1
Isaiah Joe,Von Wafer florida-state,0.89,2
Isaiah Joe,Kentavious Caldwell-Pope georgia,0.85,3
Isaiah Joe,Patrick Beverley arkansas,0.84,4
Isaiah Joe,Daniel Gibson texas,0.8,5
Jaden McDaniels,Shawne Williams memphis,0.67,1
Jaden McDaniels,Daequan Cook ohio-state,0.62,2
Jaden McDaniels,James Young kentucky,0.57,3
Jaden McDaniels,Brandon Ingram duke,0.52,4
Jaden McDaniels,Cory Joseph texas,0.52,5
Jalen Harris,Richard Hamilton connecticut,0.87,1
Jalen Harris,Stephen Curry davidson,0.86,2
Jalen Harris,Ben Gordon connecticut,0.78,3
Jalen Harris,Cory Joseph texas,0.75,4
Jalen Harris,Delonte West saint-josephs,0.75,5
Jalen Smith,Christian Wood nevada-las-vegas,0.92,1
Jalen Smith,Brandon Bass louisiana-state,0.84,2
Jalen Smith,Charlie Villanueva connecticut,0.8,3
Jalen Smith,Rasheed Wallace north-carolina,0.8,4
Jalen Smith,Jarell Martin louisiana-state,0.78,5
James Wiseman,Kevin Love ucla,0.89,1
James Wiseman,Anthony Bennett nevada-las-vegas,0.83,2
James Wiseman,DeMarcus Cousins kentucky,0.82,3
James Wiseman,Michael Beasley kansas-state,0.81,4
James Wiseman,Carl Herrera houston,0.78,5
Jon Teske,Mikki Moore nebraska,0.92,1
Jon Teske,Hilton Armstrong connecticut,0.88,2
Jon Teske,Jeremy Evans western-kentucky,0.88,3
Jon Teske,Eric Moreland oregon-state,0.85,4
Jon Teske,Linton Johnson tulane,0.84,5
Jordan Ford,Hubert Davis north-carolina,0.97,1
Jordan Ford,Derrick Dial eastern-michigan,0.85,2
Jordan Ford,Matt Carroll notre-dame,0.81,3
Jordan Ford,Richie Frahm gonzaga,0.81,4
Jordan Ford,Sean Kilpatrick cincinnati,0.81,5
Jordan Nwora,John Jenkins vanderbilt,0.82,1
